P51V1,-96,x
P53V1,125,x
P53V4,149,x
P54V2,-111,x
P55V4,-129,x
P55V5,-223,x
P57V2,113,x
P57V4,124,x
P58V1,-106,x
P58V2,-194,x
P58V5,-98,x
P59V2,136,x
P59V3,-94,x
P59V4,94,x
P61V2,100,x
P63V1,169,x
P63V2,152,x
P64V1,-95,x
P64V5,107,x
P65V2,187,x
P65V5,-156,x
P66V2,155,x
P66V4,182,x
P67V2,118,x
P69V2,131,x
P69V5,98,x
P71V2,-172,x
P71V5,-134,x
P73V2,-230,x
P74V3,225,x
P74V4,131,x
P75V4,-140,x
P77V1,103,x
P77V5,112,x
P78V2,115,x
P79V1,205,x
P82V4,198,x
P85V4,-95,bad
P86V3,124,x
P87V1,-180,x
P93V2,-100,x
P95V1,-143,x
P95V4,-114,x
P97V5,-126,x
