P13V2,98,x
P13V4,111,x
P14V4,98,x
P15V1,-124,x
P15V2,-92,x
P15V5,-123,x
P16V2,-272,x
P17V1,115,x
P17V3,162,x
P17V4,-126,x
P22V1,-110,x
P22V4,200,x
P24V5,-152,x
P25V1,-215,x
P25V4,-170,x
P26V4,118,x
P28V1,126,x
P28V3,-183,x
P31V2,113,x
P31V3,150,x
P31V5,102,x
P32V2,111,x
P32V4,177,x
P32V5,-90,x
P33V1,161,x
P33V2,-165,x
P34V1,-96,x
P34V2,-143,x
P34V3,152,x
P35V1,-125,x
P35V2,181,x
P35V4,-171,x
P37V3,-95,x
P38V3,-118,x
P39V2,127,x
P39V3,144,x
P39V5,190,x
P41V2,-134,x
P42V4,-131,x
P43V1,-161,x
P44V1,157,x
P44V5,181,x
P45V1,-146,x
P45V4,179,x
P45V5,-126,x
P46V1,117,x
P46V2,-96,x
P46V3,-118,x
P46V5,139,x
P49V1,132,x
P49V2,-107,x
