Enabled	Feature	ID 	x        	y          	z          	i	j	k	Dev From Fit	Device Position  	Probe	Device Name
Checked	M2_3   	1  	164.7354 	-3,702.6690	-2,858.7998	 	 	 	70.5932     	Device Position 1	38.1 	V20003907682
Checked	M2_3   	2  	164.7270 	-3,702.6714	-2,858.7975	 	 	 	70.5916     	Device Position 1	38.1 	V20003907682
Checked	M2_3   	3  	164.7477 	-3,702.6903	-2,858.7482	 	 	 	70.5893     	Device Position 1	38.1 	V20003907682
Checked	M2_3   	4  	-173.5559	-3,713.7088	-2,832.5682	 	 	 	69.9222     	Device Position 1	38.1 	V20003907682
Checked	M2_3   	5  	-173.5491	-3,713.7941	-2,832.3724	 	 	 	69.9035     	Device Position 1	38.1 	V20003907682
Checked	M2_3   	6  	-173.5282	-3,713.8428	-2,832.2593	 	 	 	69.8933     	Device Position 1	38.1 	V20003907682
Checked	M2_3   	7  	-2.5859  	-3,761.6497	-2,720.0733	 	 	 	59.5217     	Device Position 1	38.1 	V20003907682
Checked	M2_3   	8  	-2.5668  	-3,761.6898	-2,719.9753	 	 	 	59.5148     	Device Position 1	38.1 	V20003907682
Checked	M2_3   	9  	-2.5872  	-3,761.6996	-2,719.9672	 	 	 	59.5081     	Device Position 1	38.1 	V20003907682
Checked	M2_3   	10 	195.9898 	-3,850.9076	-2,504.0739	 	 	 	42.7559     	Device Position 1	38.1 	V20003907682
Checked	M2_3   	11 	195.9647 	-3,850.9637	-2,503.9293	 	 	 	42.7488     	Device Position 1	38.1 	V20003907682
Checked	M2_3   	12 	195.9379 	-3,851.0072	-2,503.8412	 	 	 	42.7358     	Device Position 1	38.1 	V20003907682
Checked	M2_3   	13 	-172.5559	-3,861.9048	-2,477.6602	 	 	 	42.3130     	Device Position 1	38.1 	V20003907682
Checked	M2_3   	14 	-172.5293	-3,861.8758	-2,477.7406	 	 	 	42.3148     	Device Position 1	38.1 	V20003907682
Checked	M2_3   	15 	-172.4244	-3,861.8731	-2,477.7651	 	 	 	42.3091     	Device Position 1	38.1 	V20003907682
Checked	M2_3   	16 	190.5471 	-3,972.7362	-2,204.2288	 	 	 	22.6572     	Device Position 1	38.1 	V20003907682
Checked	M2_3   	17 	190.3882 	-3,972.7927	-2,204.0965	 	 	 	22.6464     	Device Position 1	38.1 	V20003907682
Checked	M2_3   	18 	190.3458 	-3,972.7887	-2,204.1256	 	 	 	22.6410     	Device Position 1	38.1 	V20003907682
Checked	M2_3   	19 	-177.8100	-3,972.5302	-2,205.0956	 	 	 	24.1570     	Device Position 1	38.1 	V20003907682
Checked	M2_3   	20 	-177.8042	-3,972.4713	-2,205.2341	 	 	 	24.1688     	Device Position 1	38.1 	V20003907682
Checked	M2_3   	21 	-177.7981	-3,972.4436	-2,205.3008	 	 	 	24.1737     	Device Position 1	38.1 	V20003907682
Checked	M2_3   	22 	-0.5244  	-4,030.2516	-2,061.2540	 	 	 	14.4281     	Device Position 1	38.1 	V20003907682
Checked	M2_3   	23 	-0.5299  	-4,030.2572	-2,061.2347	 	 	 	14.4290     	Device Position 1	38.1 	V20003907682
Checked	M2_3   	24 	-0.5464  	-4,030.2538	-2,061.2624	 	 	 	14.4235     	Device Position 1	38.1 	V20003907682
Checked	M2_3   	25 	177.7367 	-4,113.8812	-1,847.1034	 	 	 	2.4973      	Device Position 1	38.1 	V20003907682
Checked	M2_3   	26 	177.7718 	-4,113.9582	-1,846.9101	 	 	 	2.4857      	Device Position 1	38.1 	V20003907682
Checked	M2_3   	27 	178.9685 	-4,114.0838	-1,846.5786	 	 	 	2.4669      	Device Position 1	38.1 	V20003907682
Checked	M2_3   	28 	-166.4338	-4,123.2582	-1,823.0758	 	 	 	2.7269      	Device Position 1	38.1 	V20003907682
Checked	M2_3   	29 	-166.4347	-4,123.3122	-1,822.9383	 	 	 	2.7194      	Device Position 1	38.1 	V20003907682
Checked	M2_3   	30 	-166.4338	-4,123.3358	-1,822.8782	 	 	 	2.7162      	Device Position 1	38.1 	V20003907682
Checked	M2_3   	31 	191.5850 	-4,230.5920	-1,542.6725	 	 	 	-11.3736    	Device Position 1	38.1 	V20003907682
Checked	M2_3   	32 	191.6144 	-4,230.6442	-1,542.5432	 	 	 	-11.3821    	Device Position 1	38.1 	V20003907682
Checked	M2_3   	33 	191.6203 	-4,230.6740	-1,542.4802	 	 	 	-11.3903    	Device Position 1	38.1 	V20003907682
Checked	M2_3   	34 	-181.6376	-4,232.8959	-1,536.9320	 	 	 	-10.1307    	Device Position 1	38.1 	V20003907682
Checked	M2_3   	35 	-181.3851	-4,232.8221	-1,537.1677	 	 	 	-10.1368    	Device Position 1	38.1 	V20003907682
Checked	M2_3   	36 	-181.3488	-4,232.8117	-1,537.1883	 	 	 	-10.1336    	Device Position 1	38.1 	V20003907682
Checked	M2_3   	37 	-2.7744  	-4,287.1591	-1,393.9165	 	 	 	-16.8505    	Device Position 1	38.1 	V20003907682
Checked	M2_3   	38 	-2.6496  	-4,287.1903	-1,393.8364	 	 	 	-16.8552    	Device Position 1	38.1 	V20003907682
Checked	M2_3   	39 	-2.1825  	-4,287.1690	-1,393.8877	 	 	 	-16.8533    	Device Position 1	38.1 	V20003907682
Checked	M2_3   	40 	186.4020 	-4,368.0995	-1,174.3411	 	 	 	-24.5531    	Device Position 1	38.1 	V20003907682
Checked	M2_3   	41 	186.4276 	-4,368.1256	-1,174.2615	 	 	 	-24.5526    	Device Position 1	38.1 	V20003907682
Checked	M2_3   	42 	186.4337 	-4,368.1450	-1,174.2168	 	 	 	-24.5568    	Device Position 1	38.1 	V20003907682
Checked	M2_3   	43 	-193.8535	-4,366.7639	-1,177.8375	 	 	 	-22.7677    	Device Position 1	38.1 	V20003907682
Checked	M2_3   	44 	-193.8515	-4,366.7805	-1,177.8057	 	 	 	-22.7734    	Device Position 1	38.1 	V20003907682
Checked	M2_3   	45 	-193.8469	-4,366.8049	-1,177.7301	 	 	 	-22.7724    	Device Position 1	38.1 	V20003907682
Checked	M2_3   	46 	190.5410 	-4,477.3196	-873.2215  	 	 	 	-32.3341    	Device Position 1	38.1 	V20003907682
Checked	M2_3   	47 	190.5746 	-4,477.3014	-873.2641  	 	 	 	-32.3305    	Device Position 1	38.1 	V20003907682
Checked	M2_3   	48 	190.5370 	-4,477.3291	-873.2097  	 	 	 	-32.3393    	Device Position 1	38.1 	V20003907682
Checked	M2_3   	49 	-197.7178	-4,474.1924	-881.7290  	 	 	 	-30.4098    	Device Position 1	38.1 	V20003907682
Checked	M2_3   	50 	-197.6929	-4,474.1187	-881.9257  	 	 	 	-30.4026    	Device Position 1	38.1 	V20003907682
Checked	M2_3   	51 	-197.7125	-4,474.1116	-881.9486  	 	 	 	-30.4031    	Device Position 1	38.1 	V20003907682
Checked	M2_3   	52 	-11.0554 	-4,526.9457	-735.2684  	 	 	 	-34.6358    	Device Position 1	38.1 	V20003907682
Checked	M2_3   	53 	-11.0650 	-4,526.9510	-735.2690  	 	 	 	-34.6411    	Device Position 1	38.1 	V20003907682
Checked	M2_3   	54 	-11.0886 	-4,526.9366	-735.3187  	 	 	 	-34.6431    	Device Position 1	38.1 	V20003907682
Checked	M2_3   	55 	170.4202 	-4,608.4774	-501.6515  	 	 	 	-38.3995    	Device Position 1	38.1 	V20003907682
Checked	M2_3   	56 	170.4066 	-4,608.4708	-501.6767  	 	 	 	-38.4012    	Device Position 1	38.1 	V20003907682
Checked	M2_3   	57 	170.4393 	-4,608.5129	-501.5355  	 	 	 	-38.3963    	Device Position 1	38.1 	V20003907682
Checked	M2_3   	58 	-185.0693	-4,608.0161	-502.7322  	 	 	 	-36.7808    	Device Position 1	38.1 	V20003907682
Checked	M2_3   	59 	-185.1005	-4,607.8865	-503.0839  	 	 	 	-36.7697    	Device Position 1	38.1 	V20003907682
Checked	M2_3   	60 	-185.1276	-4,607.7963	-503.3395  	 	 	 	-36.7654    	Device Position 1	38.1 	V20003907682
Checked	M2_3   	61 	184.6158 	-4,710.8304	-203.2759  	 	 	 	-40.5861    	Device Position 1	38.1 	V20003907682
Checked	M2_3   	62 	184.6473 	-4,710.8091	-203.3767  	 	 	 	-40.5981    	Device Position 1	38.1 	V20003907682
Checked	M2_3   	63 	186.0519 	-4,710.7342	-203.5633  	 	 	 	-40.5925    	Device Position 1	38.1 	V20003907682
Checked	M2_3   	64 	-190.7077	-4,708.4321	-210.1879  	 	 	 	-38.9008    	Device Position 1	38.1 	V20003907682
Checked	M2_3   	65 	-190.7294	-4,708.3341	-210.4601  	 	 	 	-38.8944    	Device Position 1	38.1 	V20003907682
Checked	M2_3   	66 	-190.6783	-4,708.4024	-210.2707  	 	 	 	-38.8992    	Device Position 1	38.1 	V20003907682
Checked	M2_3   	67 	-6.6032  	-4,759.4996	-60.2825   	 	 	 	-40.4219    	Device Position 1	38.1 	V20003907682
Checked	M2_3   	68 	-6.6406  	-4,759.5240	-60.2118   	 	 	 	-40.4224    	Device Position 1	38.1 	V20003907682
Checked	M2_3   	69 	-6.6276  	-4,759.4999	-60.2974   	 	 	 	-40.4269    	Device Position 1	38.1 	V20003907682
Checked	M2_3   	70 	176.2988 	-4,836.6643	173.5046   	 	 	 	-39.9974    	Device Position 1	38.1 	V20003907682
Checked	M2_3   	71 	176.3347 	-4,836.6893	173.5866   	 	 	 	-39.9952    	Device Position 1	38.1 	V20003907682
Checked	M2_3   	72 	176.3042 	-4,836.6593	173.4941   	 	 	 	-39.9961    	Device Position 1	38.1 	V20003907682
Checked	M2_3   	73 	-198.4821	-4,833.9813	165.6174   	 	 	 	-38.3548    	Device Position 1	38.1 	V20003907682
Checked	M2_3   	74 	-198.4657	-4,833.9559	165.5708   	 	 	 	-38.3456    	Device Position 1	38.1 	V20003907682
Checked	M2_3   	75 	-198.4322	-4,833.9475	165.5614   	 	 	 	-38.3408    	Device Position 1	38.1 	V20003907682
Checked	M2_3   	76 	186.9427 	-4,933.7333	472.4541   	 	 	 	-36.9767    	Device Position 1	38.1 	V20003907682
