P13V1,199,x
P13V4,147,x
P15V3,-248,x
P15V4,-147,x
P16V1,207,x
P16V2,177,x
P16V3,142,x
P17V5,167,x
P22V1,-277,x
P23V2,-132,x
P23V4,219,x
P23V5,154,x
P24V3,-248,x
P24V4,-179,x
P26V2,188,x
P26V4,165,x
P26V5,135,x
P31V1,-133,x
P31V4,-191,x
P31V5,-135,x
P32V1,-178,x
P34V3,-206,x
P35V2,-168,x
P35V3,-147,x
P36V1,179,x
P36V3,143,x
P36V5,148,x
P37V2,241,x
P38V2,156,x
P38V5,198,x
P39V1,260,x
P39V3,-148,x
P41V1,-213,x
P42V1,-194,x
P42V4,-190,x
P43V3,186,x
P44V5,-150,x
P45V4,-215,x
P47V1,144,x
P47V3,149,x
P47V4,205,x
P47V5,129,x
P48V2,-182,x
P48V4,-149,x
P48V5,-189,x
