P51V2,-139,x,
P51V3,156,x,
P52V4,-233,x,
P53V4,135,x,
P54V1,-259,x,
P56V1,141,x,
P56V4,131,x,
P57V1,135,x,
P57V2,191,x,
P57V4,248,x,
P59V2,160,x,
P61V5,151,x,
P62V5,188,x,
P63V3,185,x,
P64V3,-127,x,
P64V4,-183,x,
P68V1,-230,x,
P68V4,-132,x,
P71V2,221,x,
P71V3,142,x,
P72V2,171,x,
P72V3,214,x,
P73V1,211,x,
P74V5,-140,x,
P75V3,-173,x,
P76V1,163,x,
P76V4,158,x,
P77V3,-154,x,
P78V1,-386,x,
P78V2,-193,x,
P78V5,-209,x,
P79V1,-159,x,
P79V2,-198,x,
P79V4,-228,x,
P79V5,-182,x,
P82V3,183,x,
P82V4,1555,x,
P82V5,243,x,
P84V3,139,x,
P84V4,145,x,
P85V4,144,x,bad
P87V4,-139,x,
P93V4,223,x,
P93V5,197,x,
P94V3,-201,x,
P94V5,-141,x,
P95V1,150,x,
P95V2,145,x,
P96V1,132,x,
