P12V5,-165,x
P13V3,269,x
P13V4,216,x
P13V5,-290,x
P14V5,-170,x
P15V2,180,x
P15V5,325,x
P16V2,180,x
P16V5,-187,x
P17V5,202,x
P18V2,-256,x
P18V4,-670,x
P18V5,-174,x
P21V4,758,x
P22V2,-167,x
P22V4,-201,x
P22V5,192,x
P23V4,404,x
P24V2,-205,x
P24V3,-257,x
P24V4,-385,x
P24V5,-295,x
P26V1,-465,x
P26V3,-317,x
P27V2,232,x
P27V4,-227,x
P29V2,-165,x
P31V3,-237,x
P31V5,-331,x
P32V1,348,x
P32V3,254,x
P33V1,267,x
P33V2,363,x
P34V1,226,x
P35V5,186,x
P36V1,-218,x
P36V2,-214,x
P36V5,-212,x
P37V2,377,x
P37V4,-223,x
P38V2,294,x
P38V4,349,x
P38V5,193,x
P39V4,251,x
P39V5,-199,x
P41V2,340,x
P42V1,164,x
P42V3,260,x
P43V3,314,x
P43V4,188,x
P43V5,192,x
P44V2,282,x
P45V4,198,x
P46V1,-197,x
P48V5,340,x
P49V5,245,x
