P51V1,-187,x
P53V2,-217,x
P54V1,175,x
P54V2,205,x
P55V1,324,x
P55V4,229,x
P57V4,-237,x
P58V1,-171,x
P62V1,325,x
P68V3,-236,x
P68V4,348,x
P71V4,211,x
P73V1,-206,x
P73V2,-234,x
P73V3,-304,x
P73V5,-243,x
P75V2,210,x
P76V3,-170,x
P78V2,-209,x
P79V5,293,x
P81V1,247,x
P81V2,311,x
P81V3,703,x
P81V4,676,x
P81V5,1603,x
P82V2,169,x
P83V2,-164,x
P83V5,-312,x
P87V1,-234,x
P88V5,-178,x
P89V1,263,x
P89V2,176,x
P93V5,218,x
P94V1,-396,x
P94V4,-187,x
P95V4,-256,x
P96V1,-202,x
P96V2,-325,x
P96V3,-306,x
P97V2,-190,x
P97V4,-165,x
P98V1,181,x
P98V5,219,x
