# x y z x_res y_res z_res
2.843631307579710665e+03 2.498419112223916272e+03 -1.186826918963008097e+02 0.000000000000000000e+00 0.000000000000000000e+00 2.063516979955863917e-01
2.468130389043794366e+03 2.478314929102949918e+03 -1.033088532492890579e+02 0.000000000000000000e+00 0.000000000000000000e+00 2.060261242011165450e-01
2.851067602021776565e+03 2.076849684602585057e+03 -1.077968216670605415e+02 0.000000000000000000e+00 0.000000000000000000e+00 6.326883320618037487e-02
2.472582182766958340e+03 2.070577270469769246e+03 -9.256503229640038910e+01 0.000000000000000000e+00 0.000000000000000000e+00 4.614276477666123810e-02
2.480065055948522968e+03 1.732280035720747492e+03 -8.523160806627014097e+01 0.000000000000000000e+00 0.000000000000000000e+00 9.688228341772742169e-03
2.850156346701097846e+03 1.739834286539163713e+03 -1.002476242749317947e+02 0.000000000000000000e+00 0.000000000000000000e+00 9.093168503135018454e-02
2.663381003663673255e+03 1.573567110483102397e+03 -8.926102576449376613e+01 0.000000000000000000e+00 0.000000000000000000e+00 -1.260204914065354842e-02
2.846559169996168293e+03 1.320470276980371182e+03 -9.257538362025537992e+01 0.000000000000000000e+00 0.000000000000000000e+00 8.416072739336755149e-03
2.476988109924280252e+03 1.319812207746617787e+03 -7.763424047972749520e+01 0.000000000000000000e+00 0.000000000000000000e+00 -4.120017762453187515e-02
2.484687463854427278e+03 9.920025973063359288e+02 -7.341731396695928424e+01 0.000000000000000000e+00 0.000000000000000000e+00 -1.835847550461267019e-02
2.859103005529143502e+03 9.930069989192716093e+02 -8.868151285129296468e+01 0.000000000000000000e+00 0.000000000000000000e+00 -2.507364685017421380e-02
2.684090924406997146e+03 8.300738309552147030e+02 -7.956084832221347369e+01 0.000000000000000000e+00 0.000000000000000000e+00 -1.440608878399984860e-02
2.490720631832281470e+03 6.293139975507473309e+02 -7.016643671558666995e+01 0.000000000000000000e+00 0.000000000000000000e+00 2.715110858615332745e-02
2.833359671427020203e+03 6.282002845425183750e+02 -8.412968666657241101e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.516707456090671258e-03
2.858921079808312243e+03 3.071356904683475477e+02 -8.354003746148973164e+01 0.000000000000000000e+00 0.000000000000000000e+00 3.815387983527784854e-02
2.489590979263360168e+03 2.411551044909095367e+02 -6.817279197117571243e+01 0.000000000000000000e+00 0.000000000000000000e+00 -3.918000865505177899e-02
2.649920896445475591e+03 9.813545873872608638e+01 -7.427794245645020510e+01 0.000000000000000000e+00 0.000000000000000000e+00 -1.820587621037361714e-02
2.861507083300718023e+03 -1.159154775179332830e+02 -8.332941675181504593e+01 0.000000000000000000e+00 0.000000000000000000e+00 8.798361340231508620e-02
2.511920912656902601e+03 -1.313702927632213857e+02 -6.890920494723894763e+01 0.000000000000000000e+00 0.000000000000000000e+00 4.825718302470249910e-03
2.507439808385220203e+03 -4.585672903228557971e+02 -7.004068831780594451e+01 0.000000000000000000e+00 0.000000000000000000e+00 -5.767638276657294227e-02
2.840496057595791171e+03 -4.738756310630363942e+02 -8.384645114620710160e+01 0.000000000000000000e+00 0.000000000000000000e+00 -1.066209999731881908e-02
2.685344451689491052e+03 -6.253967558020902970e+02 -7.834714170234789776e+01 0.000000000000000000e+00 0.000000000000000000e+00 -2.639577194389630677e-02
2.514721714210362279e+03 -8.879454733718589523e+02 -7.404957217104549727e+01 0.000000000000000000e+00 0.000000000000000000e+00 3.764521213724947302e-03
