# x y z x_res y_res z_res x_res_err y_res_err z_res_err
2.841800426614668595e+03 2.499769280010120383e+03 -1.186449625501244896e+02 0.000000000000000000e+00 0.000000000000000000e+00 2.123135340037407559e-01 1.726574762439602242e-02 1.768650776052172260e-02 1.295415915200503684e-02
2.841786066462203053e+03 2.499745575084924894e+03 -1.186436747986192728e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.483416283204377351e-01 1.726557611053158858e-02 1.768628311640571549e-02 1.295396079651319268e-02
2.841752535994080063e+03 2.499765850995899200e+03 -1.186428557254744334e+02 0.000000000000000000e+00 0.000000000000000000e+00 2.023492643949396097e-01 1.726561994204191958e-02 1.768641082096607253e-02 1.295411672251259132e-02
2.466482906252936118e+03 2.479438961459190978e+03 -1.032808915305208188e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.804648338108307826e-01 1.647194826090433301e-02 1.717854910790142520e-02 1.284910547072123758e-02
2.466369127058445429e+03 2.479413275331874956e+03 -1.032759606122928062e+02 0.000000000000000000e+00 0.000000000000000000e+00 2.022779871277293751e-01 1.647178167203271204e-02 1.717843512085971691e-02 1.284912231973754995e-02
2.466300262142136035e+03 2.479454481697168831e+03 -1.032746252219574359e+02 0.000000000000000000e+00 0.000000000000000000e+00 2.032206777608251969e-01 1.647162171486337215e-02 1.717841773795315830e-02 1.284913893139971904e-02
2.651330419189351232e+03 2.327636233801795242e+03 -1.060598677911726071e+02 0.000000000000000000e+00 0.000000000000000000e+00 4.586832160205034370e-01 1.690841375191724089e-02 1.721827752786795132e-02 1.279966597148456640e-02
2.651263182079772378e+03 2.327597623574198224e+03 -1.060561629637507508e+02 0.000000000000000000e+00 0.000000000000000000e+00 4.407808554013001867e-01 1.690825318911306357e-02 1.721808671984746686e-02 1.279957582355083744e-02
2.651256234425121420e+03 2.327625911989878659e+03 -1.060566580583988099e+02 0.000000000000000000e+00 0.000000000000000000e+00 4.365884456067590236e-01 1.690821873750404311e-02 1.721809898681177578e-02 1.279957780992619851e-02
2.849409112357303002e+03 2.078237908875781613e+03 -1.077600559660659627e+02 0.000000000000000000e+00 0.000000000000000000e+00 7.038609607127455092e-02 1.734790925510487289e-02 1.729810195638886022e-02 1.275392172473267111e-02
2.849394594157685788e+03 2.078264386061792720e+03 -1.077600813278983196e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.276936449893071313e-01 1.734803294257299469e-02 1.729823538386776258e-02 1.275408401804126700e-02
2.849422845826726189e+03 2.078242722598348792e+03 -1.077607551300389161e+02 0.000000000000000000e+00 0.000000000000000000e+00 6.148615305227167482e-02 1.734790692226793885e-02 1.729810886976399301e-02 1.275390320682580521e-02
2.471087878001941135e+03 2.071662847217852232e+03 -9.253599854642308742e+01 0.000000000000000000e+00 0.000000000000000000e+00 6.864396051767585050e-02 1.673294083336880622e-02 1.664514827288161511e-02 1.262721831999946871e-02
2.478580739076888221e+03 1.733846064371631201e+03 -8.520805918556227709e+01 0.000000000000000000e+00 0.000000000000000000e+00 -4.521163308814379889e-02 1.703341612293062662e-02 1.631830249213593251e-02 1.255239805897215635e-02
