CODE1,-3642.371,-9215.432,3862.896,0.024,0.030,0.018,0.000
CODE2,-4629.778,-8807.982,5712.890,0.094,0.076,0.039,0.000
CODE3,244.792,-8572.458,3762.205,0.014,0.026,0.034,0.000
CODE4,-5559.436,-5648.209,6804.043,0.092,0.035,0.046,0.000
CODE5,-5459.868,-4104.713,4659.043,0.045,0.028,0.031,0.000
CODE6,-5437.342,-2610.234,2515.170,0.048,0.034,0.033,0.000
CODE7,-5851.304,-2972.012,5450.274,0.072,0.029,0.041,0.000
CODE8,1914.228,-4005.933,8158.526,0.063,0.027,0.063,0.000
CODE9,1934.694,-2482.006,5993.534,0.045,0.022,0.041,0.000
CODE10,1598.033,-1501.453,6674.698,0.051,0.027,0.052,0.000
CODE11,2032.313,-910.001,3791.390,0.039,0.026,0.026,0.000
CODE12,2765.301,-7742.723,4992.464,0.025,0.026,0.018,0.000
CODE13,-2893.685,-8616.995,2923.003,0.018,0.023,0.025,0.000
CODE16,-3466.321,-3643.536,157.193,0.018,0.021,0.020,0.000
CODE18,-3323.879,-3456.438,180.416,0.029,0.016,0.035,0.000
CODE25,-2177.626,-9521.281,3702.023,0.022,0.030,0.024,0.000
CODE26,1655.168,-8700.983,4424.627,0.049,0.037,0.050,0.000
CODE28,-2718.837,-8608.448,3126.003,0.025,0.057,0.019,0.000
CODE29,-3315.015,-3446.353,255.713,0.021,0.027,0.037,0.000
CODE30,1304.809,-2453.721,1079.057,0.021,0.020,0.037,0.000
CODE31,1902.372,-7618.616,3949.280,0.019,0.060,0.020,0.000
CODE33,-4337.641,-3351.315,8246.009,0.032,0.031,0.044,0.000
CODE34,-4321.740,-3320.646,8256.062,0.085,0.027,0.063,0.000
CODE35,-2970.614,-8434.416,6801.719,0.071,0.063,0.044,0.000
CODE36,-3002.566,-8418.579,6801.081,0.030,0.085,0.086,0.000
CODE39,844.732,-7592.653,7489.773,0.029,0.089,0.088,0.000
CODE40,829.348,-7621.412,7477.524,0.060,0.033,0.053,0.000
CODE41,-523.463,-2510.906,8933.564,0.044,0.031,0.072,0.000
CODE42,-491.568,-2526.759,8932.599,0.035,0.041,0.054,0.000
CODE49,844.020,-2980.980,9053.425,0.088,0.032,0.122,0.000
CODE50,-5349.202,-4311.402,7950.620,0.113,0.033,0.078,0.000
CODE52,1051.954,-7427.314,3610.407,0.012,0.020,0.014,0.000
CODE53,1852.230,-6803.198,7965.206,0.085,0.037,0.076,0.000
CODE54,-2020.689,-8088.439,3066.528,0.013,0.019,0.014,0.000
