P51V5,-176,x
P52V3,162,x
P53V1,-146,x
P53V2,202,x
P53V4,-214,x
P54V3,-218,x
P55V5,306,x
P57V4,-213,x
P58V3,215,x
P58V4,157,x
P58V5,205,x
P59V5,-161,x
P61V2,-242,x
P61V3,160,x
P62V1,-187,x
P62V2,-278,x
P63V3,-182,x
P65V2,-152,x
P65V3,148,x
P65V5,197,x
P67V3,-167,x
P71V2,146,x
P72V5,-189,x
P73V2,182,x
P74V1,195,x
P74V2,174,x
P75V4,175,x
P76V2,-216,x
P77V4,-149,x
P79V2,203,x
P82V3,-194,x
P82V5,-233,x
P83V2,222,x
P83V3,157,x
P84V3,197,x
P85V1,237,x
P85V5,-186,x
P88V1,-157,x
P93V2,152,x
P94V1,197,x
P95V1,204,x
P96V2,-147,x
P96V4,167,x
P96V5,-162,x
P97V3,-182,x
P97V4,167,x
