Enabled	Feature	ID 	x         	y          	z          	i	j	k	Dev From Fit	Device Position  	Probe	Device Name
Checked	M2_5   	1  	1,869.5302	-5,429.3336	2,289.5749 	 	 	 	-42.1140    	Device Position 1	38.1 	V20003907682
Checked	M2_5   	2  	1,869.2952	-5,429.3046	2,289.4914 	 	 	 	-42.1266    	Device Position 1	38.1 	V20003907682
Checked	M2_5   	3  	1,869.3995	-5,429.2265	2,289.5356 	 	 	 	-42.2095    	Device Position 1	38.1 	V20003907682
Checked	M2_5   	4  	2,228.8268	-5,402.3074	2,263.2075 	 	 	 	-41.5164    	Device Position 1	38.1 	V20003907682
Checked	M2_5   	5  	2,228.9699	-5,402.2315	2,262.8910 	 	 	 	-41.4807    	Device Position 1	38.1 	V20003907682
Checked	M2_5   	6  	2,229.3812	-5,402.1678	2,262.8159 	 	 	 	-41.4967    	Device Position 1	38.1 	V20003907682
Checked	M2_5   	7  	2,082.2205	-5,350.3634	2,046.2386 	 	 	 	-29.0411    	Device Position 1	38.1 	V20003907682
Checked	M2_5   	8  	2,082.1852	-5,350.3131	2,046.0519 	 	 	 	-29.0311    	Device Position 1	38.1 	V20003907682
Checked	M2_5   	9  	2,082.2377	-5,350.2628	2,045.8447 	 	 	 	-29.0104    	Device Position 1	38.1 	V20003907682
Checked	M2_5   	10 	1,875.5680	-5,316.6601	1,888.5458 	 	 	 	-21.1019    	Device Position 1	38.1 	V20003907682
Checked	M2_5   	11 	1,875.4703	-5,316.6798	1,888.6188 	 	 	 	-21.1112    	Device Position 1	38.1 	V20003907682
Checked	M2_5   	12 	1,874.0715	-5,316.7383	1,888.5400 	 	 	 	-21.1001    	Device Position 1	38.1 	V20003907682
Checked	M2_5   	13 	2,252.8265	-5,284.3282	1,848.4439 	 	 	 	-20.2744    	Device Position 1	38.1 	V20003907682
Checked	M2_5   	14 	2,252.7937	-5,284.3465	1,848.5011 	 	 	 	-20.2769    	Device Position 1	38.1 	V20003907682
Checked	M2_5   	15 	2,252.7812	-5,284.3021	1,848.4620 	 	 	 	-20.3071    	Device Position 1	38.1 	V20003907682
Checked	M2_5   	16 	2,262.5658	-5,212.5525	1,602.9366 	 	 	 	-9.7605     	Device Position 1	38.1 	V20003907682
Checked	M2_5   	17 	2,264.0399	-5,212.4157	1,602.8149 	 	 	 	-9.7782     	Device Position 1	38.1 	V20003907682
Checked	M2_5   	18 	2,263.9899	-5,212.4201	1,602.7774 	 	 	 	-9.7646     	Device Position 1	38.1 	V20003907682
Checked	M2_5   	19 	1,927.1722	-5,231.9303	1,604.2897 	 	 	 	-8.4685     	Device Position 1	38.1 	V20003907682
Checked	M2_5   	20 	1,927.2442	-5,231.8126	1,604.0867 	 	 	 	-8.5119     	Device Position 1	38.1 	V20003907682
Checked	M2_5   	21 	1,927.1078	-5,231.8150	1,603.9360 	 	 	 	-8.4685     	Device Position 1	38.1 	V20003907682
Checked	M2_5   	22 	2,076.2929	-5,160.1865	1,388.5098 	 	 	 	-0.4588     	Device Position 1	38.1 	V20003907682
Checked	M2_5   	23 	2,076.2766	-5,160.2027	1,388.5092 	 	 	 	-0.4440     	Device Position 1	38.1 	V20003907682
Checked	M2_5   	24 	2,076.2544	-5,160.2197	1,388.5468 	 	 	 	-0.4410     	Device Position 1	38.1 	V20003907682
Checked	M2_5   	25 	1,898.4413	-5,119.1950	1,220.3865 	 	 	 	5.3207      	Device Position 1	38.1 	V20003907682
Checked	M2_5   	26 	1,898.4284	-5,119.2078	1,220.4435 	 	 	 	5.3142      	Device Position 1	38.1 	V20003907682
Checked	M2_5   	27 	1,898.4375	-5,119.1772	1,220.4451 	 	 	 	5.2851      	Device Position 1	38.1 	V20003907682
Checked	M2_5   	28 	2,265.5098	-5,084.4939	1,174.3850 	 	 	 	5.2739      	Device Position 1	38.1 	V20003907682
Checked	M2_5   	29 	2,265.5747	-5,084.4855	1,174.3728 	 	 	 	5.2730      	Device Position 1	38.1 	V20003907682
Checked	M2_5   	30 	2,265.5983	-5,084.4902	1,174.4054 	 	 	 	5.2683      	Device Position 1	38.1 	V20003907682
Checked	M2_5   	31 	2,285.2245	-5,004.3702	917.7447   	 	 	 	11.9145     	Device Position 1	38.1 	V20003907682
Checked	M2_5   	32 	2,285.4451	-5,004.3612	917.6432   	 	 	 	11.9492     	Device Position 1	38.1 	V20003907682
Checked	M2_5   	33 	2,285.6513	-5,004.3442	917.6178   	 	 	 	11.9513     	Device Position 1	38.1 	V20003907682
Checked	M2_5   	34 	1,966.8328	-5,015.4704	893.9242   	 	 	 	14.2086     	Device Position 1	38.1 	V20003907682
Checked	M2_5   	35 	1,966.8035	-5,015.4660	893.7878   	 	 	 	14.2464     	Device Position 1	38.1 	V20003907682
Checked	M2_5   	36 	1,966.7929	-5,015.4355	893.6848   	 	 	 	14.2496     	Device Position 1	38.1 	V20003907682
Checked	M2_5   	37 	2,088.1193	-4,948.1741	700.8083   	 	 	 	17.8498     	Device Position 1	38.1 	V20003907682
Checked	M2_5   	38 	2,088.2147	-4,948.1541	700.8639   	 	 	 	17.8179     	Device Position 1	38.1 	V20003907682
Checked	M2_5   	39 	2,088.3267	-4,948.1720	700.8713   	 	 	 	17.8381     	Device Position 1	38.1 	V20003907682
Checked	M2_5   	40 	1,924.8517	-4,903.6722	533.2536   	 	 	 	20.8476     	Device Position 1	38.1 	V20003907682
Checked	M2_5   	41 	1,924.8349	-4,903.7203	533.3748   	 	 	 	20.8538     	Device Position 1	38.1 	V20003907682
Checked	M2_5   	42 	1,924.8863	-4,903.7033	533.2600   	 	 	 	20.8768     	Device Position 1	38.1 	V20003907682
Checked	M2_5   	43 	2,264.0046	-4,866.4614	477.6409   	 	 	 	20.0938     	Device Position 1	38.1 	V20003907682
Checked	M2_5   	44 	2,263.9838	-4,866.4256	477.4760   	 	 	 	20.1113     	Device Position 1	38.1 	V20003907682
Checked	M2_5   	45 	2,264.9332	-4,866.3546	477.4759   	 	 	 	20.0912     	Device Position 1	38.1 	V20003907682
Checked	M2_5   	46 	2,271.5464	-4,791.4820	248.9784   	 	 	 	22.1138     	Device Position 1	38.1 	V20003907682
Checked	M2_5   	47 	2,271.4908	-4,791.5084	249.0262   	 	 	 	22.1209     	Device Position 1	38.1 	V20003907682
Checked	M2_5   	48 	2,271.4942	-4,791.5120	248.9946   	 	 	 	22.1345     	Device Position 1	38.1 	V20003907682
Checked	M2_5   	49 	1,972.4171	-4,795.1906	207.0851   	 	 	 	24.1054     	Device Position 1	38.1 	V20003907682
Checked	M2_5   	50 	1,972.3685	-4,795.1906	207.1027   	 	 	 	24.0974     	Device Position 1	38.1 	V20003907682
Checked	M2_5   	51 	1,970.8729	-4,795.1973	206.8794   	 	 	 	24.1005     	Device Position 1	38.1 	V20003907682
Checked	M2_5   	52 	2,087.0330	-4,726.9781	20.6711    	 	 	 	24.4191     	Device Position 1	38.1 	V20003907682
Checked	M2_5   	53 	2,087.0792	-4,726.9420	20.5696    	 	 	 	24.4195     	Device Position 1	38.1 	V20003907682
Checked	M2_5   	54 	2,087.0568	-4,726.9464	20.5121    	 	 	 	24.4408     	Device Position 1	38.1 	V20003907682
Checked	M2_5   	55 	2,287.9097	-4,661.7927	-136.4764  	 	 	 	22.5779     	Device Position 1	38.1 	V20003907682
Checked	M2_5   	56 	2,287.9602	-4,661.7922	-136.4725  	 	 	 	22.5787     	Device Position 1	38.1 	V20003907682
Checked	M2_5   	57 	2,288.0168	-4,661.7716	-136.4942  	 	 	 	22.5688     	Device Position 1	38.1 	V20003907682
Checked	M2_5   	58 	1,958.0717	-4,665.8406	-181.9806  	 	 	 	24.5154     	Device Position 1	38.1 	V20003907682
Checked	M2_5   	59 	1,958.0865	-4,665.8114	-182.0285  	 	 	 	24.5038     	Device Position 1	38.1 	V20003907682
Checked	M2_5   	60 	1,958.0133	-4,665.7679	-182.1730  	 	 	 	24.5049     	Device Position 1	38.1 	V20003907682
Checked	M2_5   	61 	1,898.3738	-4,587.5921	-418.9743  	 	 	 	22.7533     	Device Position 1	38.1 	V20003907682
Checked	M2_5   	62 	1,898.4460	-4,587.5606	-419.0604  	 	 	 	22.7544     	Device Position 1	38.1 	V20003907682
Checked	M2_5   	63 	1,898.4770	-4,587.5138	-419.1938  	 	 	 	22.7541     	Device Position 1	38.1 	V20003907682
Checked	M2_5   	64 	2,277.2744	-4,561.7320	-429.4693  	 	 	 	20.3845     	Device Position 1	38.1 	V20003907682
Checked	M2_5   	65 	2,277.3594	-4,561.7462	-429.3441  	 	 	 	20.3624     	Device Position 1	38.1 	V20003907682
Checked	M2_5   	66 	2,277.4200	-4,561.7945	-429.2510  	 	 	 	20.3815     	Device Position 1	38.1 	V20003907682
Checked	M2_5   	67 	2,090.2317	-4,496.6956	-647.8204  	 	 	 	18.8972     	Device Position 1	38.1 	V20003907682
Checked	M2_5   	68 	2,090.3282	-4,496.6360	-647.9398  	 	 	 	18.8834     	Device Position 1	38.1 	V20003907682
Checked	M2_5   	69 	2,091.0660	-4,496.5529	-648.0617  	 	 	 	18.8801     	Device Position 1	38.1 	V20003907682
Checked	M2_5   	70 	1,933.6299	-4,443.4113	-822.2443  	 	 	 	16.0918     	Device Position 1	38.1 	V20003907682
Checked	M2_5   	71 	1,933.5926	-4,443.3969	-822.2911  	 	 	 	16.0911     	Device Position 1	38.1 	V20003907682
Checked	M2_5   	72 	1,933.6268	-4,443.3884	-822.3182  	 	 	 	16.0934     	Device Position 1	38.1 	V20003907682
Checked	M2_5   	73 	2,292.9801	-4,403.4945	-873.1755  	 	 	 	12.2896     	Device Position 1	38.1 	V20003907682
Checked	M2_5   	74 	2,293.7336	-4,403.4081	-873.2263  	 	 	 	12.2613     	Device Position 1	38.1 	V20003907682
Checked	M2_5   	75 	2,294.3350	-4,403.3820	-873.2265  	 	 	 	12.2665     	Device Position 1	38.1 	V20003907682
Checked	M2_5   	76 	2,279.6578	-4,324.5647	-1,092.0365	 	 	 	6.4208      	Device Position 1	38.1 	V20003907682
Checked	M2_5   	77 	2,279.7036	-4,324.5098	-1,092.1963	 	 	 	6.4219      	Device Position 1	38.1 	V20003907682
Checked	M2_5   	78 	2,280.6829	-4,324.4089	-1,092.2834	 	 	 	6.4026      	Device Position 1	38.1 	V20003907682
Checked	M2_5   	79 	1,967.9120	-4,329.6811	-1,130.0843	 	 	 	7.8982      	Device Position 1	38.1 	V20003907682
Checked	M2_5   	80 	1,968.1481	-4,329.6622	-1,130.1245	 	 	 	7.9049      	Device Position 1	38.1 	V20003907682
Checked	M2_5   	81 	1,968.2900	-4,329.6413	-1,130.2293	 	 	 	7.9254      	Device Position 1	38.1 	V20003907682
Checked	M2_5   	82 	2,110.1913	-4,250.6431	-1,320.2184	 	 	 	0.5147      	Device Position 1	38.1 	V20003907682
Checked	M2_5   	83 	2,110.4932	-4,250.5599	-1,320.3449	 	 	 	0.4910      	Device Position 1	38.1 	V20003907682
Checked	M2_5   	84 	2,110.3052	-4,250.6017	-1,320.3684	 	 	 	0.5288      	Device Position 1	38.1 	V20003907682
Checked	M2_5   	85 	1,907.2421	-4,200.6373	-1,484.4694	 	 	 	-4.7159     	Device Position 1	38.1 	V20003907682
Checked	M2_5   	86 	1,906.6408	-4,200.7385	-1,484.2655	 	 	 	-4.7147     	Device Position 1	38.1 	V20003907682
Checked	M2_5   	87 	1,906.5532	-4,200.7408	-1,484.2877	 	 	 	-4.7097     	Device Position 1	38.1 	V20003907682
Checked	M2_5   	88 	2,230.7152	-4,175.7301	-1,498.2873	 	 	 	-7.8746     	Device Position 1	38.1 	V20003907682
Checked	M2_5   	89 	2,230.6745	-4,175.7380	-1,498.2713	 	 	 	-7.8742     	Device Position 1	38.1 	V20003907682
Checked	M2_5   	90 	2,230.9151	-4,175.6893	-1,498.3749	 	 	 	-7.8755     	Device Position 1	38.1 	V20003907682
Checked	M2_5   	91 	2,296.9438	-4,072.1153	-1,755.8656	 	 	 	-20.8737    	Device Position 1	38.1 	V20003907682
Checked	M2_5   	92 	2,296.9726	-4,072.0552	-1,756.0597	 	 	 	-20.8676    	Device Position 1	38.1 	V20003907682
Checked	M2_5   	93 	2,297.0107	-4,072.0247	-1,756.0430	 	 	 	-20.8999    	Device Position 1	38.1 	V20003907682
Checked	M2_5   	94 	1,972.9036	-4,079.5830	-1,789.3322	 	 	 	-19.2348    	Device Position 1	38.1 	V20003907682
Checked	M2_5   	95 	1,972.8666	-4,079.6582	-1,789.2201	 	 	 	-19.2010    	Device Position 1	38.1 	V20003907682
Checked	M2_5   	96 	1,972.6528	-4,079.7270	-1,789.1615	 	 	 	-19.1650    	Device Position 1	38.1 	V20003907682
Checked	M2_5   	97 	2,078.6918	-3,995.0510	-1,988.1172	 	 	 	-30.8814    	Device Position 1	38.1 	V20003907682
Checked	M2_5   	98 	2,078.5954	-3,995.0642	-1,988.1847	 	 	 	-30.8522    	Device Position 1	38.1 	V20003907682
