# angle direction x y z
9.000000000000000000e+01 0.000000000000000000e+00 2.982921299999999974e+03 2.628759572225729698e+03 -1.383643981816421444e+02
9.000000000000000000e+01 0.000000000000000000e+00 2.982902599999999893e+03 2.628747944672246831e+03 -1.383724480263609280e+02
9.000000000000000000e+01 -1.000000000000000000e+00 2.982890800000000127e+03 2.628738866236258218e+03 -1.383797823293273268e+02
4.000000000000000000e+01 0.000000000000000000e+00 nan nan nan
4.000000000000000000e+01 0.000000000000000000e+00 nan nan nan
4.000000000000000000e+01 1.000000000000000000e+00 nan nan nan
9.000000000000000000e+01 0.000000000000000000e+00 2.982769499999999880e+03 2.628488024130542271e+03 -1.389111615235004251e+02
9.000000000000000000e+01 0.000000000000000000e+00 2.982774199999999837e+03 2.628472639982856890e+03 -1.388993998059386286e+02
