# angle direction x y z
9.000000000000000000e+01 0.000000000000000000e+00 -2.399192199999999957e+03 3.029869918165597028e+03 -1.153847747904721643e+02
9.000000000000000000e+01 0.000000000000000000e+00 -2.399192199999999957e+03 3.029807979082620022e+03 -1.153798554409219150e+02
9.000000000000000000e+01 -1.000000000000000000e+00 -2.399205599999999777e+03 3.029800197566058614e+03 -1.154454616753814236e+02
4.000000000000000000e+01 0.000000000000000000e+00 -3.180050499999999829e+03 4.191925153581732047e+03 -2.440332653080316959e+03
4.000000000000000000e+01 0.000000000000000000e+00 -3.180078599999999824e+03 4.191816167628508992e+03 -2.440362437505777052e+03
4.000000000000000000e+01 1.000000000000000000e+00 -3.180080899999999929e+03 4.191817598712014842e+03 -2.440363063604810577e+03
9.000000000000000000e+01 0.000000000000000000e+00 -2.399159700000000157e+03 3.029523953728118158e+03 -1.155915216356720947e+02
9.000000000000000000e+01 0.000000000000000000e+00 -2.399162899999999809e+03 3.029512818109590171e+03 -1.155822195928854654e+02
