# x y z x_res y_res z_res x_res_err y_res_err z_res_err
2.813271595427037482e+03 2.534042738499099414e+03 -1.184534227306588861e+02 0.000000000000000000e+00 0.000000000000000000e+00 -9.555101460587422935e-02 2.222247241699921647e-02 2.208775906788143506e-02 1.654027871729751159e-02
2.813255225375125519e+03 2.534053660287397179e+03 -1.184530637322367568e+02 0.000000000000000000e+00 0.000000000000000000e+00 -9.439236852381327481e-02 2.222243466766738243e-02 2.208773780827774300e-02 1.654028783593102306e-02
2.470629958792172602e+03 2.478762111788460970e+03 -1.034138757652778793e+02 0.000000000000000000e+00 0.000000000000000000e+00 -4.648282773260348222e-02 2.139092059950202865e-02 2.104982093082054598e-02 1.632847011136461315e-02
2.658214202636049322e+03 2.327118242054543771e+03 -1.063179026813237726e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.295264283853043707e-01 2.190277488588418531e-02 2.125971223666436871e-02 1.626693929597566868e-02
2.658247694260162461e+03 2.327090602001557272e+03 -1.063184767965659887e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.243870099515902439e-01 2.190283539653613623e-02 2.125974526177967783e-02 1.626691061384534856e-02
2.473984931115595828e+03 2.061558590385687694e+03 -9.239722626761073343e+01 0.000000000000000000e+00 0.000000000000000000e+00 -4.295343803258333537e-02 2.174563962031495629e-02 2.020609169543578776e-02 1.598114633961969511e-02
2.853401788614169163e+03 2.078820742223247635e+03 -1.079436514403205223e+02 0.000000000000000000e+00 0.000000000000000000e+00 -1.442494322127174655e-02 2.239131332848284459e-02 2.153614706554492220e-02 1.621222979828968250e-02
2.853510702937613132e+03 2.078819502179925166e+03 -1.079482475638708507e+02 0.000000000000000000e+00 0.000000000000000000e+00 -1.563243059031549365e-02 2.239150309305870667e-02 2.153653355594972382e-02 1.621229147803856380e-02
2.855801134853012172e+03 1.742670984229437408e+03 -1.005467397569498758e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.011375904559486116e-02 2.259914724169095543e-02 2.121425200430708188e-02 1.613091318799916504e-02
2.855804866300579306e+03 1.742677758998655918e+03 -1.005470375312506945e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.344684950744579055e-02 2.259916504692212683e-02 2.121428166792077227e-02 1.613093003281246274e-02
2.477594846044507449e+03 1.735659658590651816e+03 -8.520837435729498566e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.445743630299034521e-02 2.214443050469534421e-02 1.971439556847693481e-02 1.587307116840572241e-02
2.477565919313962695e+03 1.735668323299844133e+03 -8.520746716729108527e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.823734551997802100e-02 2.214440574404536594e-02 1.971430903929815084e-02 1.587306974955594169e-02
2.661866010226712206e+03 1.571299840658341054e+03 -8.915797162388831509e+01 0.000000000000000000e+00 0.000000000000000000e+00 -2.234640918028674150e-02 2.257414413913275478e-02 2.026074204527754039e-02 1.600007929744484345e-02
2.661871772813783082e+03 1.571280876111592761e+03 -8.915785180176301594e+01 0.000000000000000000e+00 0.000000000000000000e+00 -3.108126496842089637e-02 2.257412450676228241e-02 2.026072607991514368e-02 1.600004944002048762e-02
2.477999942885759992e+03 1.317589437521767195e+03 -7.763760312231752891e+01 0.000000000000000000e+00 0.000000000000000000e+00 6.282062083107575745e-02 2.284479761968920622e-02 1.924968338686544600e-02 1.593785116928899542e-02
2.478010558412455794e+03 1.317596587349183210e+03 -7.763811666621027996e+01 0.000000000000000000e+00 0.000000000000000000e+00 5.748632094621086708e-02 2.284475843762414499e-02 1.924972227777648620e-02 1.593783362813303017e-02
2.478021202574976996e+03 1.317589630903233456e+03 -7.763841006138768819e+01 0.000000000000000000e+00 0.000000000000000000e+00 4.554873639945355990e-02 2.284470628475432016e-02 1.924973252229034149e-02 1.593779453618197200e-02
2.853688777556817058e+03 1.322859078786942291e+03 -9.291911039597721356e+01 0.000000000000000000e+00 0.000000000000000000e+00 8.979063327672065498e-03 2.310274643348918591e-02 2.093089068252318788e-02 1.622600453053069103e-02
2.853710368070952427e+03 1.322855838084036350e+03 -9.291999002481881575e+01 0.000000000000000000e+00 0.000000000000000000e+00 7.358852122536063689e-03 2.310275703344729856e-02 2.093098529907517699e-02 1.622601707903875354e-02
2.859476677625442335e+03 9.936461780928156031e+02 -8.870512740916913685e+01 0.000000000000000000e+00 0.000000000000000000e+00 -1.333533240674000808e-02 2.371192832607524337e-02 2.083229004921228686e-02 1.645620397892426368e-02
