P52V1,-122,x,
P52V3,142,x,
P53V2,97,x,
P54V1,-117,x,
P54V2,-233,x,
P54V5,-130,x,
P55V2,136,x,
P57V4,204,x,
P57V5,96,x,
P58V2,-160,x,
P59V4,-123,x,
P61V3,-111,x,
P62V1,-288,x,
P62V2,-112,x,
P64V3,-200,x,
P64V4,127,x,
P64V5,-107,x,
P65V3,112,x,
P66V1,302,x,
P66V2,152,x,
P66V3,112,x,
P66V4,199,x,
P66V5,134,x,
P67V4,-142,x,
P68V3,159,x,
P71V1,200,x,
P72V3,137,x,
P74V3,-216,x,
P74V4,-169,x,
P74V5,-265,x,
P75V1,201,x,
P77V1,-115,x,
P77V2,-197,x,
P77V5,-97,x,
P78V3,-92,x,
P79V1,-102,x,
P79V2,-132,x,
P79V5,-147,x,
P81V1,-182,x,
P81V3,-118,x,
P81V4,-310,x,
P81V5,457,x,bad adj
P82V1,258,x,
P82V3,-120,x,
P82V5,-186,x,
P83V2,211,x,
P83V3,166,x,
P83V4,98,x,
P84V1,-185,x,
P84V3,-200,x,
P84V4,113,x,
P84V5,-157,x,
P85V2,137,x,
P85V5,113,x,
P86V1,134,x,
P86V2,170,x,
P86V3,159,x,
P89V3,289,x,
P92V2,244,x,
P92V3,173,x,
P92V5,184,x,
P93V4,166,x,
P94V1,-250,x,
P94V2,99,x,
P94V3,-202,x,
P94V4,-183,x,
P95V1,-131,x,
P97V1,128,x,
P97V2,165,x,
