P12V2,95,x
P12V5,277,x
P13V4,-192,x
P13V5,135,x
P14V3,-99,x
P14V4,-101,x
P14V5,151,x
P15V5,193,x
P16V1,202,x
P16V2,254,x
P16V4,127,x
P16V5,205,x
P17V2,-152,x
P17V3,-158,x
P17V4,-134,x
P17V5,-278,x
P18V4,609,x
P18V5,137,x
P21V4,-640,x
P21V5,-213,x
P22V2,131,x
P23V4,-187,x
P23V5,-104,x
P24V2,98,x
P24V3,163,x
P24V4,307,x
P24V5,207,x
P25V4,153,x
P25V5,120,x
P26V1,525,x
P26V2,181,x
P26V4,110,x
P26V5,315,x
P27V1,-152,x
P27V2,-568,x
P27V4,144,x
P27V5,-133,x
P28V4,-100,x
P29V2,277,x
P29V3,-130,x
P29V4,118,x
P31V3,99,x
P31V4,203,x
P31V5,138,x
P32V1,-292,x
P32V2,216,x
P33V2,-341,x
P33V4,95,x
P34V1,-342,x
P34V2,-284,x
P34V3,-151,x
P34V4,140,x
P35V3,-90,x
P35V4,94,x
P35V5,-93,x
P36V1,287,x
P36V2,152,x
P36V5,263,x
P37V1,-821,x
P37V2,-146,x
P37V4,133,x
P37V5,-101,x
P38V2,-168,x
P38V5,-214,x
P39V2,-181,x
P39V4,-91,x
P41V2,-91,x
P41V4,153,x
P42V1,-174,x
P42V3,-107,x
P42V4,-123,x
P42V5,-113,x
P43V3,-194,x
P43V4,-152,x
P43V5,-193,x
P44V2,-396,x
P44V3,-109,x
P44V5,-127,x
P45V2,170,x
P45V3,145,x
P46V1,136,x
P46V2,180,x
P46V3,143,x
P47V3,232,x
P47V4,106,x
P47V5,-129,x
P48V5,-199,x
P49V5,-142,x
