Enabled	Feature	ID 	x         	y          	z         	i	j	k	Dev From Fit	Device Position  	Probe	Device Name
Checked	M1_2   	1  	1,536.5336	2,838.0839 	2,068.7589	 	 	 	40.1225     	Device Position 1	38.1 	V20003907682
Checked	M1_2   	2  	1,536.4898	2,838.1639 	2,068.7476	 	 	 	40.0976     	Device Position 1	38.1 	V20003907682
Checked	M1_2   	3  	1,536.5211	2,838.1602 	2,068.7518	 	 	 	40.0949     	Device Position 1	38.1 	V20003907682
Checked	M1_2   	4  	1,146.4873	2,839.6369 	2,076.7435	 	 	 	39.2409     	Device Position 1	38.1 	V20003907682
Checked	M1_2   	5  	1,146.4696	2,839.5821 	2,076.7565	 	 	 	39.2542     	Device Position 1	38.1 	V20003907682
Checked	M1_2   	6  	1,146.3920	2,839.7301 	2,076.6734	 	 	 	39.2638     	Device Position 1	38.1 	V20003907682
Checked	M1_2   	7  	1,309.8726	2,705.4808 	2,146.7204	 	 	 	33.7059     	Device Position 1	38.1 	V20003907682
Checked	M1_2   	8  	1,309.8698	2,705.5053 	2,146.7117	 	 	 	33.7027     	Device Position 1	38.1 	V20003907682
Checked	M1_2   	9  	1,309.9213	2,705.3735 	2,146.7851	 	 	 	33.6951     	Device Position 1	38.1 	V20003907682
Checked	M1_2   	10 	1,159.1560	2,468.9223 	2,278.7104	 	 	 	24.0782     	Device Position 1	38.1 	V20003907682
Checked	M1_2   	11 	1,159.1445	2,468.9984 	2,278.6906	 	 	 	24.0621     	Device Position 1	38.1 	V20003907682
Checked	M1_2   	12 	1,158.8471	2,468.9890 	2,278.6865	 	 	 	24.0753     	Device Position 1	38.1 	V20003907682
Checked	M1_2   	13 	1,518.6102	2,462.5066 	2,273.9423	 	 	 	24.8018     	Device Position 1	38.1 	V20003907682
Checked	M1_2   	14 	1,518.6269	2,462.5501 	2,273.9237	 	 	 	24.7987     	Device Position 1	38.1 	V20003907682
Checked	M1_2   	15 	1,518.6146	2,462.6458 	2,273.8796	 	 	 	24.7956     	Device Position 1	38.1 	V20003907682
Checked	M1_2   	16 	1,534.2528	2,176.2960 	2,428.0496	 	 	 	14.6199     	Device Position 1	38.1 	V20003907682
Checked	M1_2   	17 	1,534.5097	2,175.7197 	2,428.3734	 	 	 	14.5832     	Device Position 1	38.1 	V20003907682
Checked	M1_2   	18 	1,534.5436	2,175.6068 	2,428.4171	 	 	 	14.5941     	Device Position 1	38.1 	V20003907682
Checked	M1_2   	19 	1,157.2301	2,178.8085 	2,435.4899	 	 	 	13.5642     	Device Position 1	38.1 	V20003907682
Checked	M1_2   	20 	1,156.9192	2,178.5122 	2,435.6462	 	 	 	13.5624     	Device Position 1	38.1 	V20003907682
Checked	M1_2   	21 	1,156.6537	2,178.3825 	2,435.7084	 	 	 	13.5695     	Device Position 1	38.1 	V20003907682
Checked	M1_2   	22 	1,330.2535	2,027.7526 	2,512.7845	 	 	 	8.8661      	Device Position 1	38.1 	V20003907682
Checked	M1_2   	23 	1,330.2593	2,027.8762 	2,512.6570	 	 	 	8.9248      	Device Position 1	38.1 	V20003907682
Checked	M1_2   	24 	1,330.2984	2,027.7473 	2,512.7391	 	 	 	8.9083      	Device Position 1	38.1 	V20003907682
Checked	M1_2   	25 	1,160.0868	1,797.6452 	2,639.1327	 	 	 	1.7476      	Device Position 1	38.1 	V20003907682
Checked	M1_2   	26 	1,160.0589	1,797.5781 	2,639.1524	 	 	 	1.7605      	Device Position 1	38.1 	V20003907682
Checked	M1_2   	27 	1,160.0973	1,797.5343 	2,639.1846	 	 	 	1.7506      	Device Position 1	38.1 	V20003907682
Checked	M1_2   	28 	1,536.5393	1,799.9961 	2,629.1003	 	 	 	2.9580      	Device Position 1	38.1 	V20003907682
Checked	M1_2   	29 	1,536.5158	1,800.1080 	2,629.0557	 	 	 	2.9484      	Device Position 1	38.1 	V20003907682
Checked	M1_2   	30 	1,536.5865	1,800.1010 	2,629.0273	 	 	 	2.9756      	Device Position 1	38.1 	V20003907682
Checked	M1_2   	31 	1,532.0704	1,511.0805 	2,782.0250	 	 	 	-4.5985     	Device Position 1	38.1 	V20003907682
Checked	M1_2   	32 	1,532.0649	1,511.1693 	2,781.9981	 	 	 	-4.6141     	Device Position 1	38.1 	V20003907682
Checked	M1_2   	33 	1,532.0670	1,511.2291 	2,781.9721	 	 	 	-4.6176     	Device Position 1	38.1 	V20003907682
Checked	M1_2   	34 	1,158.1144	1,511.9105 	2,790.3538	 	 	 	-5.7516     	Device Position 1	38.1 	V20003907682
Checked	M1_2   	35 	1,158.5201	1,511.8767 	2,790.3346	 	 	 	-5.7265     	Device Position 1	38.1 	V20003907682
Checked	M1_2   	36 	1,158.5114	1,511.9164 	2,790.3345	 	 	 	-5.7440     	Device Position 1	38.1 	V20003907682
