# x y z x_res y_res z_res x_res_err y_res_err z_res_err
6.516259971270131928e+02 3.075512475151595481e+03 -6.135415492624434108e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.197937350889333175e-02 1.702919731858312455e-02 1.609794607440344361e-02 1.254097657720423288e-02
1.139157734190601104e+03 2.078586484251192815e+03 -3.703111079486933477e+01 0.000000000000000000e+00 0.000000000000000000e+00 7.203048535586731305e-05 1.515583294574418712e-02 1.416954142264902246e-02 1.127121636297172963e-02
1.324970565071267401e+03 2.329878242429340389e+03 -4.726527389733220019e+01 0.000000000000000000e+00 0.000000000000000000e+00 -2.248061534632483927e-02 1.602580273156152188e-02 1.554693924343934427e-02 1.161077924125273123e-02
1.515803986845446389e+03 2.078905864465456489e+03 -4.472480187129539075e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.054647247354978390e-02 1.515583294574418712e-02 1.416954142264902246e-02 1.127150369192695366e-02
1.516581350700912935e+03 2.499629230235052091e+03 -5.634515541034150488e+01 0.000000000000000000e+00 0.000000000000000000e+00 3.630531874981812734e-02 1.712092917511845794e-02 1.561489737741667515e-02 1.293627456212750708e-02
1.140350426085781010e+03 2.494930330293006136e+03 -4.859618781716980607e+01 0.000000000000000000e+00 0.000000000000000000e+00 5.386627136469002153e-02 1.712092917511845794e-02 1.561489737741667515e-02 1.293596156529613558e-02
1.517100869365776362e+03 1.752923566476291171e+03 -3.716834225784226931e+01 0.000000000000000000e+00 0.000000000000000000e+00 -1.687146761663882444e-02 1.515583294574418712e-02 1.416954142264902246e-02 1.127130946199402829e-02
1.142251643334843038e+03 1.746187317392340674e+03 -2.930881058623526769e+01 0.000000000000000000e+00 0.000000000000000000e+00 -1.721719144635969201e-02 1.515583294574418712e-02 1.416954142264902246e-02 1.127101231888276260e-02
1.143399427455705791e+03 1.328530435929738815e+03 -2.141197588607845148e+01 0.000000000000000000e+00 0.000000000000000000e+00 2.326145407787905128e-02 1.472131195666861146e-02 1.368257501964280191e-02 1.101812896698206069e-02
1.327657276346527851e+03 1.581156875756105137e+03 -2.949229886652401333e+01 0.000000000000000000e+00 0.000000000000000000e+00 -2.085300717817517580e-02 1.515583294574418712e-02 1.416954142264902246e-02 1.127105918057232439e-02
1.518614361160802218e+03 1.330475818336187558e+03 -2.923658216393548415e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.072531639839624518e-02 1.572104097419240593e-02 1.420542253004258501e-02 1.194475174298827332e-02
1.812110787839082377e+03 1.750779476433002856e+03 -4.468644074068632221e+01 0.000000000000000000e+00 0.000000000000000000e+00 -2.000940474317047801e-02 1.572104097419240593e-02 1.420542253004258501e-02 1.194523483948622608e-02
1.813261044035810983e+03 1.333361821027359611e+03 -3.690381026775132511e+01 0.000000000000000000e+00 0.000000000000000000e+00 -5.136188667108854133e-03 1.612232648848453340e-02 1.509088171926665882e-02 1.200917309972231520e-02
1.997971479839528456e+03 1.585441671735007276e+03 -4.679177018292559609e+01 0.000000000000000000e+00 0.000000000000000000e+00 -3.059161144603450566e-02 1.572104097419240593e-02 1.420542253004258501e-02 1.194536696134695757e-02
2.187770801523432056e+03 1.334249125637691577e+03 -4.847390750174899665e+01 0.000000000000000000e+00 0.000000000000000000e+00 -2.785417817533186735e-02 1.612232648848453340e-02 1.509088171926665882e-02 1.200964500489423020e-02
2.187374321070190945e+03 1.756086302703669162e+03 -5.628399017577846308e+01 0.000000000000000000e+00 0.000000000000000000e+00 -1.882653372259568414e-02 1.656134687227631477e-02 1.557964842247954070e-02 1.226632515375028140e-02
-1.157409989642135997e+03 2.073859330735998356e+03 -3.723442953757332674e+01 0.000000000000000000e+00 0.000000000000000000e+00 -7.511930431753910398e-03 1.653988812453723728e-02 1.658418461536328992e-02 1.160362193768411584e-02
-1.537143729090823626e+03 2.485154019020240867e+03 -5.638940269905774727e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.394505697909664832e-03 1.701833151758729706e-02 1.661240062348056865e-02 1.220856407285360844e-02
-1.350462100639147138e+03 2.320111177438720460e+03 -4.751225048389299133e+01 0.000000000000000000e+00 0.000000000000000000e+00 9.805722915061210188e-03 1.611717786069427269e-02 1.523761992168301549e-02 1.183605146412854484e-02
-1.161083004036286411e+03 2.493808546806974846e+03 -4.892643532578027532e+01 0.000000000000000000e+00 0.000000000000000000e+00 -1.068347431747440623e-02 1.701833151758729706e-02 1.661240062348056865e-02 1.220824689145571379e-02
-1.533773652543343815e+03 2.069242130526622987e+03 -4.490230125937559080e+01 0.000000000000000000e+00 0.000000000000000000e+00 -1.612375273963806421e-02 1.701833151758729706e-02 1.661240062348056865e-02 1.220818854431293329e-02
-1.161477153544938119e+03 1.746708474199359216e+03 -2.966360936493126133e+01 0.000000000000000000e+00 0.000000000000000000e+00 -1.874071846602731739e-02 1.653988812453723728e-02 1.658418461536328992e-02 1.160335486025023712e-02
-1.534417610501652462e+03 1.739828718264319150e+03 -3.729756076401482545e+01 0.000000000000000000e+00 0.000000000000000000e+00 4.094896231435996015e-03 1.601518016795346055e-02 1.603711531314036542e-02 1.127982297344038050e-02
-1.159234978874623494e+03 1.326245350067079698e+03 -2.165961297540467001e+01 0.000000000000000000e+00 0.000000000000000000e+00 -1.260944519144402420e-02 1.742466266468694486e-02 1.744657781364099963e-02 1.227600759520543726e-02
-1.352364351070896419e+03 1.575537461771398057e+03 -2.989766438548084082e+01 0.000000000000000000e+00 0.000000000000000000e+00 -7.363475233976402023e-03 1.692740280190487348e-02 1.692740280190493246e-02 1.197071215628673670e-02
-1.533633992740604072e+03 1.321468021995756772e+03 -2.944669355558666624e+01 0.000000000000000000e+00 0.000000000000000000e+00 2.184525533393610885e-02 1.692740280190487348e-02 1.692740280190493246e-02 1.197073684104682685e-02
-6.763466373106405172e+02 8.230707823601305790e+02 -7.936544898770734768e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.024545194734116649e-02 1.596138797399078782e-02 1.640676286331468892e-02 1.104864395078554266e-02
-4.857796810097821663e+02 9.941785381670961215e+02 -8.140500017337517491e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.676101942098554787e-03 1.551678590174613431e-02 1.551678590174618809e-02 1.097232238612482445e-02
-8.606879856480809394e+02 9.874405149469578191e+02 -1.204450929677825854e+01 0.000000000000000000e+00 0.000000000000000000e+00 5.997348591781914706e-03 1.692740280190487348e-02 1.692740280190493246e-02 1.196998794297424347e-02
-8.612180286928615942e+02 5.726695953912349069e+02 -7.990655789683229315e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.267242243009896185e-03 1.645665866834925342e-02 1.643528347098421882e-02 1.168162237223899572e-02
-4.856709946037329928e+02 5.731181911957982038e+02 -3.973589169833731116e+00 0.000000000000000000e+00 0.000000000000000000e+00 -5.998090800434230374e-03 1.645665866834925342e-02 1.643528347098421882e-02 1.168143910411932433e-02
2.483260878124867304e+03 1.333910046850334993e+03 -5.903208293791658434e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.150781194233729821e-03 1.833801970206361265e-02 1.833801970206368204e-02 1.296973635082660989e-02
2.481952964776834506e+03 1.751096898646829004e+03 -6.662800066413150546e+01 0.000000000000000000e+00 0.000000000000000000e+00 -2.469866432856804295e-02 1.949188358542286448e-02 1.794379921455513394e-02 1.467103053920636689e-02
2.666583556088666683e+03 1.586047749823813774e+03 -7.055846632249645722e+01 0.000000000000000000e+00 0.000000000000000000e+00 -1.258206783077753244e-02 2.068571973319267496e-02 2.066428123846120873e-02 1.467552283165027630e-02
2.859106413802800489e+03 1.336046901800494879e+03 -7.429287634067701163e+01 0.000000000000000000e+00 0.000000000000000000e+00 6.690592133125505825e-03 2.489115642505214734e-02 2.666148680245955874e-02 1.658820640733404267e-02
2.857970434794750417e+03 1.758113330623421916e+03 -8.188946829724373799e+01 0.000000000000000000e+00 0.000000000000000000e+00 6.218910951858447334e-03 2.303013281052852454e-02 2.392608139551839069e-02 1.573705853732961998e-02
-1.532984792754068621e+03 9.832374298629877103e+02 -2.463767625448153709e+01 0.000000000000000000e+00 0.000000000000000000e+00 5.627790370478891191e-03 1.692740280190487348e-02 1.692740280190493246e-02 1.197056963607892252e-02
-1.157891290200798267e+03 9.899662368166033275e+02 -1.680166802936277648e+01 0.000000000000000000e+00 0.000000000000000000e+00 2.123146566508893329e-02 1.737092991754165053e-02 1.781624903493744458e-02 1.204628938875648009e-02
-1.347907956859991600e+03 8.183875621528524107e+02 -1.861943164714129040e+01 0.000000000000000000e+00 0.000000000000000000e+00 -3.898490017988365253e-04 1.737092991754165053e-02 1.781624903493744458e-02 1.204639502672255787e-02
-1.532394921865960441e+03 5.686180683578276103e+02 -2.065929913803941531e+01 0.000000000000000000e+00 0.000000000000000000e+00 5.254473886697752505e-03 1.783755661599778844e-02 1.872888237072456788e-02 1.212815138647570061e-02
-1.156916741732244418e+03 5.688708740568137046e+02 -1.269283022282597351e+01 0.000000000000000000e+00 0.000000000000000000e+00 -5.745690225664290551e-03 1.737092991754165053e-02 1.781624903493744458e-02 1.204612699264164845e-02
-1.833962659522895592e+03 1.741444950083763842e+03 -4.510123096943750909e+01 0.000000000000000000e+00 0.000000000000000000e+00 -1.533183731810083827e-02 1.601518016795346055e-02 1.603711531314036542e-02 1.128015085579311613e-02
-2.024118116717967496e+03 1.570998481846007053e+03 -4.732415565823207260e+01 0.000000000000000000e+00 0.000000000000000000e+00 -3.620379392991424083e-03 1.692740280190487348e-02 1.692740280190493246e-02 1.197149120469636480e-02
-2.205650227640626326e+03 1.319134594878956250e+03 -4.883610808822086113e+01 0.000000000000000000e+00 0.000000000000000000e+00 2.748434520483300503e-02 1.785584244891127298e-02 1.831023870582796850e-02 1.235154759347238326e-02
-1.830842116522316019e+03 1.321237498118260646e+03 -3.720387923017201359e+01 0.000000000000000000e+00 0.000000000000000000e+00 9.137641702494647689e-04 1.785584244891127298e-02 1.831023870582796850e-02 1.235098348138495908e-02
-2.205751376140127377e+03 1.734828719704176592e+03 -5.645524916064974263e+01 0.000000000000000000e+00 0.000000000000000000e+00 -1.270173501796989513e-02 1.692740280190487348e-02 1.692740280190493246e-02 1.197185767834219559e-02
4.777754850104587945e+02 9.950546767071705290e+02 -8.090462410255199188e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.436171400236219142e-03 1.416549742350254291e-02 1.364830333959456653e-02 1.034418760724154646e-02
4.776200367670975879e+02 5.793299640826148789e+02 -3.957227938662120081e+00 0.000000000000000000e+00 0.000000000000000000e+00 -4.142361427654783768e-04 1.504732022315140305e-02 1.502597453802769802e-02 1.068479904469822606e-02
6.628840381843364185e+02 8.290618842034955378e+02 -7.856036498832588144e+00 0.000000000000000000e+00 0.000000000000000000e+00 -2.081805300847783258e-03 1.472131195666861146e-02 1.368257501964280191e-02 1.101769575114501173e-02
8.530811216461100912e+02 1.000065663663823329e+03 -1.209872744798287059e+01 0.000000000000000000e+00 0.000000000000000000e+00 6.677039118955008234e-03 1.416549742350254291e-02 1.364830333959456653e-02 1.034433770958186061e-02
8.521086863273292238e+02 5.796971477359409164e+02 -7.917720709303309512e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.389491756679795742e-03 1.557169079992144940e-02 1.505711080971451621e-02 1.133824508992719964e-02
4.809756369844791379e+02 -1.737905639785077199e+02 -2.050526410430212110e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.503891932313823787e-03 1.504732022315140305e-02 1.502597453802769802e-02 1.068473674679219776e-02
8.560443205502587034e+02 -1.729668350250183551e+02 -6.064572704352614529e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.564954379719708299e-03 1.460957218211096816e-02 1.456766507912106434e-02 1.041806592006430318e-02
6.650105387015833003e+02 7.725793427081669051e+01 -3.577911078205982864e+00 0.000000000000000000e+00 0.000000000000000000e+00 -3.270753354818189962e-03 1.460957218211096816e-02 1.456766507912106434e-02 1.041796429358409978e-02
4.792524423128311355e+02 2.428388947991567193e+02 -2.213880857787004164e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.256233875277358081e-02 1.601476867469488197e-02 1.597272077225525208e-02 1.141187273840684260e-02
8.551252196924222062e+02 2.501557099891951452e+02 -6.238653253245312058e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.174420590975394418e-03 1.460957218211096816e-02 1.456766507912106434e-02 1.041806898786198747e-02
1.334408547983563722e+03 8.155092394318552351e+01 -1.424120032336575292e+01 0.000000000000000000e+00 0.000000000000000000e+00 3.038257512638864455e-03 1.416549742350254291e-02 1.364830333959456653e-02 1.034448981011935019e-02
1.524030548355425708e+03 2.522336102474364452e+02 -1.886981163168287168e+01 0.000000000000000000e+00 0.000000000000000000e+00 4.959470082042116701e-04 1.515583294574418712e-02 1.416954142264902246e-02 1.127084573083334505e-02
1.149799157377850179e+03 -1.708188313509001262e+02 -1.076359046875569625e+01 0.000000000000000000e+00 0.000000000000000000e+00 -3.336303845003385504e-03 1.557169079992144940e-02 1.505711080971451621e-02 1.133839281133511810e-02
1.149146025543560427e+03 2.469685506965381592e+02 -1.091676274485673481e+01 0.000000000000000000e+00 0.000000000000000000e+00 -7.429906334280644842e-03 1.557169079992144940e-02 1.505711080971451621e-02 1.133839314002772422e-02
1.525142581985687912e+03 -1.682403378213630560e+02 -1.873608595011248212e+01 0.000000000000000000e+00 0.000000000000000000e+00 2.689744417379102970e-02 1.515583294574418712e-02 1.416954142264902246e-02 1.127084931767604291e-02
8.590043610090779111e+02 -5.000190364199114583e+02 -7.533187152791027685e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.234861210535044052e-02 1.504732022315140305e-02 1.502597453802769802e-02 1.068495893970089310e-02
8.607345372085803774e+02 -9.211740632202003098e+02 -1.142671362779098310e+01 0.000000000000000000e+00 0.000000000000000000e+00 -1.964538987745889642e-02 1.504732022315140305e-02 1.502597453802769802e-02 1.068509236277832321e-02
6.703223965697371796e+02 -6.713967944135289372e+02 -6.517555989337992628e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.335528060257836103e-03 1.504732022315140305e-02 1.502597453802769802e-02 1.068490468025806023e-02
4.843724996367240578e+02 -9.229586559121869414e+02 -7.385378064924327468e+00 0.000000000000000000e+00 0.000000000000000000e+00 -8.627876294271530355e-04 1.504732022315140305e-02 1.502597453802769802e-02 1.068491942194316896e-02
4.837832729521245483e+02 -5.071049757634704065e+02 -3.537743778903593928e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.637193706771622459e-03 1.557169079992144940e-02 1.505711080971451621e-02 1.133806811427035682e-02
2.197373016522039052e+03 -9.151824220922787845e+02 -4.368608789783790769e+01 0.000000000000000000e+00 0.000000000000000000e+00 6.634653620992025935e-03 1.596138797399078782e-02 1.640676286331468892e-02 1.105028265835812477e-02
2.006863117900218867e+03 -6.640985502152510662e+02 -3.486279711091508915e+01 0.000000000000000000e+00 0.000000000000000000e+00 -1.148137649771285851e-03 1.551678590174613431e-02 1.551678590174618809e-02 1.097352782812078230e-02
1.819871640149910490e+03 -4.995331042451591088e+02 -2.798835411545729457e+01 0.000000000000000000e+00 0.000000000000000000e+00 3.235829107037346830e-03 1.656134687227631477e-02 1.557964842247954070e-02 1.226541825597513881e-02
1.822294461467349947e+03 -9.178522005671260331e+02 -3.189111295776607591e+01 0.000000000000000000e+00 0.000000000000000000e+00 -1.527565969231403642e-02 1.656134687227631477e-02 1.557964842247954070e-02 1.226554412286364609e-02
2.197249595013900944e+03 -4.926643796487813916e+02 -3.984310575005395805e+01 0.000000000000000000e+00 0.000000000000000000e+00 2.584033869021595820e-02 1.602580273156152188e-02 1.554693924343934427e-02 1.161088402181988805e-02
2.202796930282750964e+03 -1.242635925595658819e+03 -4.837973393997699390e+01 0.000000000000000000e+00 0.000000000000000000e+00 -2.280012411031862030e-02 1.692740280190487348e-02 1.692740280190493246e-02 1.197168768894129459e-02
1.827376992181427568e+03 -1.248337871682723062e+03 -3.662882915374734694e+01 0.000000000000000000e+00 0.000000000000000000e+00 -1.062034763513253210e-02 1.602580273156152188e-02 1.554693924343934427e-02 1.161065601424440125e-02
2.012060671982856547e+03 -1.413189341925067538e+03 -4.498754522121038946e+01 0.000000000000000000e+00 0.000000000000000000e+00 -1.357923477400646561e-02 1.602580273156152188e-02 1.554693924343934427e-02 1.161098603902532833e-02
1.827724638811210525e+03 -1.664037518297687029e+03 -4.435573582498361844e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.636648446847743799e-04 1.602580273156152188e-02 1.554693924343934427e-02 1.161090297667365621e-02
2.202773312857780638e+03 -1.662676380754912316e+03 -5.609879686753190242e+01 0.000000000000000000e+00 0.000000000000000000e+00 2.060203444613506463e-02 1.692740280190487348e-02 1.692740280190493246e-02 1.197196398572131573e-02
2.491725121412301633e+03 -9.133466529884964302e+02 -5.438931069159033171e+01 0.000000000000000000e+00 0.000000000000000000e+00 -1.565541562495553762e-02 1.737092991754165053e-02 1.781624903493744458e-02 1.204817575539609935e-02
2.867320756833204086e+03 -9.110934310948964594e+02 -6.982658684840910723e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.300645870523453596e-02 1.878063328064462356e-02 1.922590106535461765e-02 1.304642832871807240e-02
2.677682834977553284e+03 -6.615770205362442766e+02 -5.926808775912643767e+01 0.000000000000000000e+00 0.000000000000000000e+00 -2.057418103724728553e-03 1.785584244891127298e-02 1.831023870582796850e-02 1.235223140333984934e-02
2.866855729482952029e+03 -4.909044358552871472e+02 -6.604039408643683373e+01 0.000000000000000000e+00 0.000000000000000000e+00 -2.644519415952117924e-03 1.833801970206361265e-02 1.833801970206368204e-02 1.297029326273175034e-02
2.494612592307584691e+03 -4.970962634232976711e+02 -5.072378821687568973e+01 0.000000000000000000e+00 0.000000000000000000e+00 -9.495313863624232908e-03 1.692740280190487348e-02 1.692740280190493246e-02 1.197187233119385852e-02
2.497114147301496359e+03 -1.664044342623251396e+03 -6.678780505272298740e+01 0.000000000000000000e+00 0.000000000000000000e+00 -6.567471906933519676e-03 1.878063328064462356e-02 1.922590106535461765e-02 1.304614898828110152e-02
