CODE1,-4517.999,581.924,3986.333,0.020,0.054,0.030,0.000
CODE2,-4464.663,542.414,3995.790,0.026,0.014,0.030,0.000
CODE5,-7619.469,3189.642,1527.802,0.024,0.014,0.017,0.000
CODE6,-7595.806,3163.462,1584.775,0.049,0.022,0.017,0.000
CODE7,-4806.532,1271.494,-4004.716,0.024,0.012,0.022,0.000
CODE8,-4856.695,1314.801,-4013.363,0.019,0.017,0.041,0.000
CODE11,-1702.847,-1335.758,-1543.648,0.012,0.019,0.024,0.000
CODE12,-1730.655,-1311.851,-1600.299,0.023,0.039,0.023,0.000
CODE22,-1867.904,-1223.770,-1100.495,0.015,0.019,0.024,0.000
CODE32,-3663.871,-72.571,3183.627,0.013,0.039,0.015,0.000
CODE33,-3667.964,-67.647,3149.022,0.015,0.026,0.015,0.000
CODE34,-3639.380,-88.695,3143.314,0.020,0.012,0.017,0.000
CODE35,-7243.678,2938.717,326.426,0.027,0.015,0.022,0.000
CODE36,-7239.918,2935.648,361.580,0.021,0.013,0.015,0.000
CODE37,-7267.537,2955.368,366.946,0.015,0.026,0.020,0.000
CODE38,-5538.120,1776.721,-3093.340,0.020,0.013,0.012,0.000
CODE39,-5534.880,1773.519,-3059.118,0.019,0.010,0.012,0.000
CODE40,-5561.191,1795.623,-3053.131,0.019,0.023,0.052,0.000
CODE41,-1960.653,-1232.146,-235.743,0.010,0.019,0.020,0.000
CODE42,-1964.443,-1227.636,-271.040,0.014,0.020,0.016,0.000
CODE43,-1937.380,-1248.573,-276.691,0.022,0.032,0.030,0.000
CODE44,-6584.413,2781.599,2549.234,0.020,0.014,0.018,0.000
CODE45,-5956.679,3809.376,-1930.356,0.023,0.018,0.021,0.000
CODE46,-3526.971,744.070,-3500.132,0.014,0.014,0.031,0.000
CODE47,-2727.924,-202.206,-2778.175,0.013,0.017,0.030,0.000
CODE48,-5751.396,1855.639,3281.580,0.021,0.013,0.017,0.000
CODE133,-3112.200,-519.392,261.344,0.008,0.007,0.007,0.000
CODE134,-3220.776,-400.362,-309.435,0.008,0.007,0.008,0.000
CODE135,-2749.994,-724.014,-1179.118,0.009,0.008,0.008,0.000
CODE136,-2287.350,-1086.302,-1274.152,0.011,0.012,0.012,0.000
CODE137,-2321.809,-1166.351,584.593,0.009,0.010,0.009,0.000
CODE138,-2775.818,-813.910,733.342,0.008,0.008,0.008,0.000
CSB-045-1,-3086.799,-557.998,425.363,0.007,0.006,0.007,0.000
CSB-045-2,-3094.115,-550.054,388.002,0.008,0.007,0.007,0.000
CSB-045-3,-3101.348,-542.069,349.924,0.008,0.006,0.007,0.000
CSB-045-4,-3108.652,-534.088,312.110,0.007,0.006,0.007,0.000
CSB-045-5,-3237.049,-393.488,-362.444,0.010,0.009,0.012,0.000
CSB-045-6,-3244.454,-385.523,-399.562,0.014,0.010,0.010,0.000
CSB-045-7,-3251.331,-377.917,-436.753,0.009,0.007,0.008,0.000
CSB-045-8,-3258.795,-369.731,-475.376,0.007,0.006,0.007,0.000
CSB-045-9,-2884.583,-628.481,-1154.958,0.008,0.007,0.007,0.000
CSB-045-10,-2854.307,-652.132,-1161.332,0.008,0.007,0.007,0.000
CSB-045-11,-2823.792,-675.979,-1167.474,0.008,0.007,0.007,0.000
CSB-045-12,-2793.695,-699.538,-1173.574,0.008,0.007,0.007,0.000
CSB-045-13,-2249.204,-1126.046,-1285.224,0.009,0.011,0.012,0.000
CSB-045-14,-2218.919,-1149.712,-1291.433,0.011,0.013,0.013,0.000
CSB-045-15,-2188.431,-1173.575,-1298.007,0.011,0.013,0.013,0.000
