P51V1,198,x
P51V3,295,x
P51V4,198,x
P51V5,209,x
P52V1,178,x
P52V5,134,x
P53V2,127,x
P53V4,144,x
P55V1,-145,x
P55V4,-178,x
P55V5,-206,x
P58V1,274,x
P59V3,207,x
P59V4,157,x
P59V5,232,x
P61V1,227,x
P61V2,195,x
P61V3,229,x
P61V4,165,x
P61V5,183,x
P63V2,158,x
P63V4,196,x
P64V3,170,x
P65V1,-285,x
P65V3,-177,x
P65V5,-165,x
P66V1,-185,x
P66V2,-174,x
P66V4,-154,x
P66V5,-202,x
P67V3,230,x
P67V4,255,x
P68V1,170,x
P68V2,175,x
P68V3,175,x
P68V5,216,x
P69V2,293,x
P69V4,259,x
P69V5,327,x
P71V2,196,x
P71V3,166,x
P71V4,165,x
P72V1,131,x
P73V1,142,x
P73V2,185,x
P75V1,-192,x
P75V2,-200,x
P75V3,-130,x
P75V4,-177,x
P75V5,-258,x
P77V1,170,x
P77V2,170,x
P77V3,145,x
P78V1,239,x
P78V2,188,x
P78V3,286,x
P79V1,268,x
P79V2,180,x
P79V4,132,x
P81V1,219,x
P81V2,240,x
P81V5,372,x
P82V3,195,x
P82V4,135,x
P83V2,224,x
P83V4,220,x
P84V4,-205,x
P85V1,-205,x
P85V2,-236,x
P85V3,-179,x
P85V4,-212,x
P86V1,-176,x
P86V2,-160,x
P86V3,-204,x
P86V4,-156,x
P86V5,-239,x
P87V1,143,x
P88V1,181,x
P88V2,138,x
P88V3,274,x
P88V4,159,x
P88V5,189,x
P89V4,274,x
P92V2,-135,x
P92V3,-171,x
P92V5,-187,x
P93V1,-241,x
P93V4,-256,x
P93V5,-238,x
P94V1,-135,x
P94V2,-129,x
P94V3,-160,x
P94V5,-221,x
P95V1,-180,x
P95V2,-179,x
P95V3,-172,x
P95V4,-246,x
P95V5,-240,x
P96V4,-154,x
P96V5,-189,x
P97V1,-139,x
P97V4,-214,x
P98V3,-193,x
