# x y z x_res y_res z_res
-1.874358726836428787e+03 3.241706621983391869e+03 -1.096970618614923438e+02 0.000000000000000000e+00 0.000000000000000000e+00 -2.100353751912109601e-02
-1.874494363749442527e+03 3.241579530733064985e+03 -1.096960154214855550e+02 0.000000000000000000e+00 0.000000000000000000e+00 -4.464180888345481435e-02
-1.874413470419079431e+03 3.241502846625065558e+03 -1.096908684835107408e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.862920955284153024e-02
-1.887752812072350707e+03 2.806858512630633413e+03 -9.463184967562604299e+01 0.000000000000000000e+00 0.000000000000000000e+00 -3.230497522649500297e-02
-1.887952801017451975e+03 2.806594565999143470e+03 -9.462875705831542916e+01 0.000000000000000000e+00 0.000000000000000000e+00 -3.739686357000948647e-02
-1.886938603653963128e+03 2.805240344172683308e+03 -9.455521847805729863e+01 0.000000000000000000e+00 0.000000000000000000e+00 -3.733449025060053827e-02
-1.851861434134045794e+03 3.189105896782887157e+03 -1.070993680542532189e+02 0.000000000000000000e+00 0.000000000000000000e+00 -2.651495453712016115e-02
-1.852024602894927284e+03 3.189039289141504014e+03 -1.071013650912813659e+02 0.000000000000000000e+00 0.000000000000000000e+00 -7.047013451284556140e-03
-1.852030952753290876e+03 3.188995068064978568e+03 -1.070998898462544275e+02 0.000000000000000000e+00 0.000000000000000000e+00 -4.121419425717931517e-02
-2.262095377593720059e+03 3.222416506445270898e+03 -1.208003619213230024e+02 0.000000000000000000e+00 0.000000000000000000e+00 -1.546467448056887406e-02
-2.262693653077975796e+03 3.222500968547295088e+03 -1.208234034543309434e+02 0.000000000000000000e+00 0.000000000000000000e+00 -5.792524420840550192e-03
-2.262464343102888961e+03 3.222049194061808521e+03 -1.207989261272404917e+02 0.000000000000000000e+00 0.000000000000000000e+00 -1.933779517963785111e-02
-2.239436984139328160e+03 2.858186706295990007e+03 -1.071635863749191202e+02 0.000000000000000000e+00 0.000000000000000000e+00 2.511828396525572771e-02
-2.239412328054087084e+03 2.858200966359744598e+03 -1.071632429644839135e+02 0.000000000000000000e+00 0.000000000000000000e+00 5.122478900489113585e-03
-2.239390628659836693e+03 2.858120026548014266e+03 -1.071598164284687300e+02 0.000000000000000000e+00 0.000000000000000000e+00 -1.697349874422116045e-02
-2.068178091879636213e+03 3.065956217649038081e+03 -1.088834735994025635e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.113319690635705683e-02
-2.068156183379010145e+03 3.065694036911363582e+03 -1.088734132340197505e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.728464361204373745e-02
-2.068271358828106713e+03 3.065632848374438709e+03 -1.088747527696753536e+02 0.000000000000000000e+00 0.000000000000000000e+00 -3.254242129912654491e-03
-1.846601686431254848e+03 2.836959809698696972e+03 -9.448410729779507733e+01 0.000000000000000000e+00 0.000000000000000000e+00 3.788610727110608423e-02
-1.846587035562732126e+03 2.836924907196100776e+03 -9.448253282213997295e+01 0.000000000000000000e+00 0.000000000000000000e+00 3.331783906031660081e-02
-1.846586984964464136e+03 2.836970017254955565e+03 -9.448404269063033212e+01 0.000000000000000000e+00 0.000000000000000000e+00 3.438134742401643962e-02
-2.199190282831333661e+03 2.811776240571916333e+03 -1.042956865584534114e+02 0.000000000000000000e+00 0.000000000000000000e+00 5.666723658464434266e-02
-2.199288658309049424e+03 2.811621794310051428e+03 -1.042938176527530914e+02 0.000000000000000000e+00 0.000000000000000000e+00 5.645835719053593493e-02
-2.199219615369960138e+03 2.811760024103603882e+03 -1.042961122457497538e+02 0.000000000000000000e+00 0.000000000000000000e+00 9.889869623160052470e-02
-2.021867093122589949e+03 3.030480877862528359e+03 -1.062140801066199884e+02 0.000000000000000000e+00 0.000000000000000000e+00 3.704735978824658105e-02
-2.021979967046269394e+03 3.030341772786161982e+03 -1.062125353789930813e+02 0.000000000000000000e+00 0.000000000000000000e+00 5.359949611788294987e-02
-2.022015177343317873e+03 3.030310504234164455e+03 -1.062124836088604809e+02 0.000000000000000000e+00 0.000000000000000000e+00 7.221915517501997783e-02
-1.862382062922919886e+03 3.186747366284644613e+03 -1.073011884311842010e+02 0.000000000000000000e+00 0.000000000000000000e+00 3.847337375968606921e-02
-1.862387086801896885e+03 3.186725487199605141e+03 -1.073005116961456054e+02 0.000000000000000000e+00 0.000000000000000000e+00 3.949408750133898138e-02
-1.862342996789234576e+03 3.186783845474642021e+03 -1.073014691536983776e+02 0.000000000000000000e+00 0.000000000000000000e+00 3.428478685779623447e-02
-2.197133162132245161e+03 3.207580818233326227e+03 -1.181171442124409907e+02 0.000000000000000000e+00 0.000000000000000000e+00 2.671717906611092985e-02
-2.197178997539008833e+03 3.207541696132757806e+03 -1.181171712066840627e+02 0.000000000000000000e+00 0.000000000000000000e+00 4.778353840139004660e-02
-2.197176467294355461e+03 3.207524431115543848e+03 -1.181164469458760635e+02 0.000000000000000000e+00 0.000000000000000000e+00 4.545113943292733438e-02
-1.587700781434253258e+03 3.225284765833237998e+03 -1.017100601559917408e+02 0.000000000000000000e+00 0.000000000000000000e+00 -2.909871809596609182e-02
-1.587629492418290511e+03 3.225299923607001801e+03 -1.017089500393540078e+02 0.000000000000000000e+00 0.000000000000000000e+00 -3.374064601452175793e-02
-1.587724542272845611e+03 3.225451085346080617e+03 -1.017169226470838055e+02 0.000000000000000000e+00 0.000000000000000000e+00 -2.406662882404475567e-02
-1.588192211981199534e+03 2.828541859205382480e+03 -8.754015340975276160e+01 0.000000000000000000e+00 0.000000000000000000e+00 2.403467418758964413e-04
-1.587973403839894900e+03 2.827706079836817935e+03 -8.750685992064136087e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.771867540837490651e-02
-1.587616943999286377e+03 2.827303929726763272e+03 -8.748484302578410166e+01 0.000000000000000000e+00 0.000000000000000000e+00 3.329050309517356254e-02
-1.406548426442921027e+03 3.091054298334450323e+03 -9.266472344578036768e+01 0.000000000000000000e+00 0.000000000000000000e+00 -4.187770733079787533e-02
-1.407504663020295766e+03 3.091077966520595055e+03 -9.268573929502251474e+01 0.000000000000000000e+00 0.000000000000000000e+00 -4.770135394080909919e-02
-1.407886233214071581e+03 3.091176883192007608e+03 -9.269739987849904139e+01 0.000000000000000000e+00 0.000000000000000000e+00 -3.901464630963857871e-02
-1.203780440119934156e+03 3.226232487014624439e+03 -9.375132162746457709e+01 0.000000000000000000e+00 0.000000000000000000e+00 -3.371153519732672521e-02
-1.203630814894421746e+03 3.226036862301411020e+03 -9.374117007274563207e+01 0.000000000000000000e+00 0.000000000000000000e+00 -1.921665718558074332e-02
-1.203618719139190489e+03 3.225945084187594148e+03 -9.373745366819596825e+01 0.000000000000000000e+00 0.000000000000000000e+00 -4.888186065747390785e-02
-1.209385697329895265e+03 2.842040469289460361e+03 -8.000542118571735273e+01 0.000000000000000000e+00 0.000000000000000000e+00 -5.588475486160859873e-02
-1.209602826031537006e+03 2.841952228224750343e+03 -8.000639554035153367e+01 0.000000000000000000e+00 0.000000000000000000e+00 -5.280368876881880169e-03
-1.209688701946841093e+03 2.842014715529475779e+03 -8.001008677206792186e+01 0.000000000000000000e+00 0.000000000000000000e+00 -5.687627226893710031e-02
-9.109104809558793932e+02 2.809665653941298388e+03 -7.411801057904875734e+01 0.000000000000000000e+00 0.000000000000000000e+00 -5.692519891377401109e-02
-9.108295382409795593e+02 2.809105849954833957e+03 -7.409802071674722868e+01 0.000000000000000000e+00 0.000000000000000000e+00 -6.660070600041478883e-02
-9.103229850995728611e+02 2.807430627540962632e+03 -7.403456986928290462e+01 0.000000000000000000e+00 0.000000000000000000e+00 -6.075703672320287296e-02
-9.187038910320370633e+02 3.248146802351318911e+03 -9.006055876602972887e+01 0.000000000000000000e+00 0.000000000000000000e+00 -4.110874938500330700e-02
