Enabled	Feature	ID	x         	y          	z         	i	j	k	Dev From Fit	Device Position  	Probe	Device Name
Checked	M2_8   	25	1,536.6640	-5,614.6333	2,927.4994	 	 	 	-2.7085     	Device Position 1	38.1 	V20003907682
Checked	M2_8   	26	1,536.3813	-5,614.7347	2,927.7895	 	 	 	-2.6993     	Device Position 1	38.1 	V20003907682
Checked	M2_8   	27	1,536.4722	-5,614.7584	2,927.8665	 	 	 	-2.6943     	Device Position 1	38.1 	V20003907682
Checked	M2_8   	28	1,553.0467	-5,514.7016	2,550.9329	 	 	 	3.9117      	Device Position 1	38.1 	V20003907682
Checked	M2_8   	29	1,553.3696	-5,514.7000	2,550.9457	 	 	 	3.9177      	Device Position 1	38.1 	V20003907682
Checked	M2_8   	30	1,553.3808	-5,514.6885	2,550.9054	 	 	 	3.9179      	Device Position 1	38.1 	V20003907682
Checked	M2_8   	31	1,157.9373	-5,441.6908	2,230.7359	 	 	 	7.1565      	Device Position 1	38.1 	V20003907682
Checked	M2_8   	32	1,158.1123	-5,441.5993	2,230.4636	 	 	 	7.1483      	Device Position 1	38.1 	V20003907682
Checked	M2_8   	33	1,157.8876	-5,441.6544	2,230.5803	 	 	 	7.1620      	Device Position 1	38.1 	V20003907682
Checked	M2_8   	34	1,149.6963	-5,330.7171	1,835.9742	 	 	 	7.2570      	Device Position 1	38.1 	V20003907682
Checked	M2_8   	35	1,149.6834	-5,330.7042	1,835.9089	 	 	 	7.2619      	Device Position 1	38.1 	V20003907682
Checked	M2_8   	36	1,149.6474	-5,330.6929	1,835.8900	 	 	 	7.2549      	Device Position 1	38.1 	V20003907682
Checked	M2_8   	37	1,346.7494	-5,369.5344	1,995.3438	 	 	 	8.0391      	Device Position 1	38.1 	V20003907682
Checked	M2_8   	38	1,346.5049	-5,369.5486	1,995.3466	 	 	 	8.0437      	Device Position 1	38.1 	V20003907682
Checked	M2_8   	39	1,346.1292	-5,369.5386	1,995.2922	 	 	 	8.0361      	Device Position 1	38.1 	V20003907682
Checked	M2_8   	40	1,539.0498	-5,429.3361	2,235.4288	 	 	 	6.9411      	Device Position 1	38.1 	V20003907682
Checked	M2_8   	41	1,538.9727	-5,429.3815	2,235.5331	 	 	 	6.9539      	Device Position 1	38.1 	V20003907682
Checked	M2_8   	42	1,538.9209	-5,429.4161	2,235.5923	 	 	 	6.9693      	Device Position 1	38.1 	V20003907682
Checked	M2_8   	43	1,532.2723	-5,324.4167	1,861.4302	 	 	 	7.2806      	Device Position 1	38.1 	V20003907682
Checked	M2_8   	44	1,532.2590	-5,324.3821	1,861.3120	 	 	 	7.2789      	Device Position 1	38.1 	V20003907682
Checked	M2_8   	45	1,532.2431	-5,324.3723	1,861.2764	 	 	 	7.2786      	Device Position 1	38.1 	V20003907682
Checked	M2_8   	46	1,841.7437	-5,308.1628	1,853.6222	 	 	 	4.2743      	Device Position 1	38.1 	V20003907682
Checked	M2_8   	47	1,841.7213	-5,308.2306	1,853.7952	 	 	 	4.2917      	Device Position 1	38.1 	V20003907682
Checked	M2_8   	48	1,841.7164	-5,308.2392	1,853.8448	 	 	 	4.2864      	Device Position 1	38.1 	V20003907682
Checked	M2_8   	49	1,846.3056	-5,417.0759	2,241.4950	 	 	 	3.9362      	Device Position 1	38.1 	V20003907682
Checked	M2_8   	50	1,846.1343	-5,417.0518	2,241.4087	 	 	 	3.9305      	Device Position 1	38.1 	V20003907682
Checked	M2_8   	51	1,845.8848	-5,417.0755	2,241.3882	 	 	 	3.9504      	Device Position 1	38.1 	V20003907682
Checked	M2_8   	52	2,026.0833	-5,342.3304	2,007.4580	 	 	 	1.6539      	Device Position 1	38.1 	V20003907682
Checked	M2_8   	53	2,026.0779	-5,342.3268	2,007.4133	 	 	 	1.6624      	Device Position 1	38.1 	V20003907682
Checked	M2_8   	54	2,026.0477	-5,342.3250	2,007.3516	 	 	 	1.6764      	Device Position 1	38.1 	V20003907682
Checked	M2_8   	55	2,245.3632	-5,397.1618	2,248.7083	 	 	 	-3.6248     	Device Position 1	38.1 	V20003907682
Checked	M2_8   	56	2,245.3948	-5,397.1332	2,248.6758	 	 	 	-3.6425     	Device Position 1	38.1 	V20003907682
Checked	M2_8   	57	2,245.4139	-5,397.1223	2,248.6563	 	 	 	-3.6470     	Device Position 1	38.1 	V20003907682
Checked	M2_8   	58	2,231.2466	-5,288.8924	1,860.6275	 	 	 	-2.9356     	Device Position 1	38.1 	V20003907682
Checked	M2_8   	59	2,230.7161	-5,288.9148	1,860.4872	 	 	 	-2.8940     	Device Position 1	38.1 	V20003907682
Checked	M2_8   	60	2,230.5009	-5,288.9213	1,860.5494	 	 	 	-2.9119     	Device Position 1	38.1 	V20003907682
Checked	M2_8   	61	1,843.9317	-5,224.9208	1,566.8606	 	 	 	2.0963      	Device Position 1	38.1 	V20003907682
Checked	M2_8   	62	1,843.8319	-5,224.9092	1,566.7500	 	 	 	2.1118      	Device Position 1	38.1 	V20003907682
Checked	M2_8   	63	1,843.8298	-5,224.7784	1,566.4651	 	 	 	2.0632      	Device Position 1	38.1 	V20003907682
Checked	M2_8   	64	1,850.9547	-5,111.1085	1,186.6724	 	 	 	-3.9698     	Device Position 1	38.1 	V20003907682
Checked	M2_8   	65	1,851.0138	-5,111.1335	1,186.7584	 	 	 	-3.9671     	Device Position 1	38.1 	V20003907682
Checked	M2_8   	66	1,850.3227	-5,111.3990	1,187.4944	 	 	 	-3.9349     	Device Position 1	38.1 	V20003907682
Checked	M2_8   	67	2,038.5921	-5,147.9781	1,341.8056	 	 	 	-4.2312     	Device Position 1	38.1 	V20003907682
Checked	M2_8   	68	2,038.3606	-5,147.9727	1,341.7893	 	 	 	-4.2399     	Device Position 1	38.1 	V20003907682
Checked	M2_8   	69	2,038.0392	-5,148.0321	1,341.8146	 	 	 	-4.2006     	Device Position 1	38.1 	V20003907682
Checked	M2_8   	70	2,233.3896	-5,208.9379	1,585.2116	 	 	 	-5.0317     	Device Position 1	38.1 	V20003907682
Checked	M2_8   	71	2,233.4769	-5,208.9299	1,585.0828	 	 	 	-5.0015     	Device Position 1	38.1 	V20003907682
Checked	M2_8   	72	2,233.4710	-5,208.9351	1,585.1152	 	 	 	-5.0055     	Device Position 1	38.1 	V20003907682
Checked	M2_8   	73	2,230.9372	-5,090.4537	1,188.1266	 	 	 	-11.3282    	Device Position 1	38.1 	V20003907682
Checked	M2_8   	74	2,230.9442	-5,090.4097	1,187.9221	 	 	 	-11.3148    	Device Position 1	38.1 	V20003907682
Checked	M2_8   	75	2,230.9322	-5,090.4417	1,188.0088	 	 	 	-11.3079    	Device Position 1	38.1 	V20003907682
