Enabled	Feature                       	ID  	x          	y         	z        	i	j	k	Dev From Fit	Device Position  	Probe	Device Name
Checked	LATR_1_Cont_start45deg_sep10mm	35  	-1,003.4528	6,997.4808	296.1806 	 	 	 	0.4959      	Device Position 1	38.1 	V20003907682
Checked	LATR_1_Cont_start45deg_sep10mm	36  	-1,006.2291	6,997.4873	286.5714 	 	 	 	0.5151      	Device Position 1	38.1 	V20003907682
Checked	LATR_1_Cont_start45deg_sep10mm	37  	-1,008.9358	6,997.4788	276.9401 	 	 	 	0.5271      	Device Position 1	38.1 	V20003907682
Checked	LATR_1_Cont_start45deg_sep10mm	38  	-1,011.5379	6,997.4607	267.2591 	 	 	 	0.5244      	Device Position 1	38.1 	V20003907682
Checked	LATR_1_Cont_start45deg_sep10mm	39  	-1,014.0237	6,997.4638	257.5611 	 	 	 	0.5342      	Device Position 1	38.1 	V20003907682
Checked	LATR_1_Cont_start45deg_sep10mm	40  	-1,016.4365	6,997.4568	247.8325 	 	 	 	0.5404      	Device Position 1	38.1 	V20003907682
Checked	LATR_1_Cont_start45deg_sep10mm	41  	-1,018.7570	6,997.4447	238.0777 	 	 	 	0.5417      	Device Position 1	38.1 	V20003907682
Checked	LATR_1_Cont_start45deg_sep10mm	42  	-1,020.9935	6,997.4448	228.3199 	 	 	 	0.5587      	Device Position 1	38.1 	V20003907682
Checked	LATR_1_Cont_start45deg_sep10mm	43  	-1,023.1207	6,997.4277	218.5275 	 	 	 	0.5534      	Device Position 1	38.1 	V20003907682
Checked	LATR_1_Cont_start45deg_sep10mm	44  	-1,025.1534	6,997.4107	208.7219 	 	 	 	0.5481      	Device Position 1	38.1 	V20003907682
Checked	LATR_1_Cont_start45deg_sep10mm	45  	-1,027.0843	6,997.4036	198.8966 	 	 	 	0.5496      	Device Position 1	38.1 	V20003907682
Checked	LATR_1_Cont_start45deg_sep10mm	46  	-1,028.9297	6,997.3854	189.0438 	 	 	 	0.5427      	Device Position 1	38.1 	V20003907682
Checked	LATR_1_Cont_start45deg_sep10mm	47  	-1,030.6845	6,997.3767	179.1794 	 	 	 	0.5460      	Device Position 1	38.1 	V20003907682
Checked	LATR_1_Cont_start45deg_sep10mm	48  	-1,032.3523	6,997.3623	169.3162 	 	 	 	0.5472      	Device Position 1	38.1 	V20003907682
Checked	LATR_1_Cont_start45deg_sep10mm	49  	-1,033.8821	6,997.3579	159.4297 	 	 	 	0.5439      	Device Position 1	38.1 	V20003907682
Checked	LATR_1_Cont_start45deg_sep10mm	50  	-1,035.3540	6,997.3513	149.5153 	 	 	 	0.5489      	Device Position 1	38.1 	V20003907682
Checked	LATR_1_Cont_start45deg_sep10mm	51  	-1,036.7272	6,997.3277	139.6076 	 	 	 	0.5371      	Device Position 1	38.1 	V20003907682
Checked	LATR_1_Cont_start45deg_sep10mm	52  	-1,038.0108	6,997.3004	129.6866 	 	 	 	0.5231      	Device Position 1	38.1 	V20003907682
Checked	LATR_1_Cont_start45deg_sep10mm	53  	-1,039.1777	6,997.3051	119.7376 	 	 	 	0.5329      	Device Position 1	38.1 	V20003907682
Checked	LATR_1_Cont_start45deg_sep10mm	54  	-1,040.2690	6,997.2818	109.7854 	 	 	 	0.5214      	Device Position 1	38.1 	V20003907682
Checked	LATR_1_Cont_start45deg_sep10mm	55  	-1,041.2616	6,997.2611	99.8253  	 	 	 	0.5114      	Device Position 1	38.1 	V20003907682
Checked	LATR_1_Cont_start45deg_sep10mm	56  	-1,042.1633	6,997.2456	89.8602  	 	 	 	0.5076      	Device Position 1	38.1 	V20003907682
Checked	LATR_1_Cont_start45deg_sep10mm	57  	-1,042.9669	6,997.2551	79.8797  	 	 	 	0.5265      	Device Position 1	38.1 	V20003907682
Checked	LATR_1_Cont_start45deg_sep10mm	58  	-1,043.6736	6,997.2413	69.8967  	 	 	 	0.5228      	Device Position 1	38.1 	V20003907682
Checked	LATR_1_Cont_start45deg_sep10mm	59  	-1,044.2740	6,997.2189	59.8921  	 	 	 	0.5072      	Device Position 1	38.1 	V20003907682
Checked	LATR_1_Cont_start45deg_sep10mm	60  	-1,044.7773	6,997.2123	49.8992  	 	 	 	0.5066      	Device Position 1	38.1 	V20003907682
Checked	LATR_1_Cont_start45deg_sep10mm	61  	-1,045.2124	6,997.2153	39.9003  	 	 	 	0.5227      	Device Position 1	38.1 	V20003907682
Checked	LATR_1_Cont_start45deg_sep10mm	62  	-1,045.5321	6,997.2042	29.8940  	 	 	 	0.5194      	Device Position 1	38.1 	V20003907682
Checked	LATR_1_Cont_start45deg_sep10mm	63  	-1,045.7698	6,997.1992	19.8784  	 	 	 	0.5258      	Device Position 1	38.1 	V20003907682
Checked	LATR_1_Cont_start45deg_sep10mm	64  	-1,045.9016	6,997.1828	9.8775   	 	 	 	0.5183      	Device Position 1	38.1 	V20003907682
Checked	LATR_1_Cont_start45deg_sep10mm	65  	-1,045.9307	6,997.1918	-0.1395  	 	 	 	0.5327      	Device Position 1	38.1 	V20003907682
Checked	LATR_1_Cont_start45deg_sep10mm	66  	-1,045.8714	6,997.1611	-10.1527 	 	 	 	0.5113      	Device Position 1	38.1 	V20003907682
Checked	LATR_1_Cont_start45deg_sep10mm	67  	-1,045.7212	6,997.1340	-20.1616 	 	 	 	0.4948      	Device Position 1	38.1 	V20003907682
Checked	LATR_1_Cont_start45deg_sep10mm	68  	-1,045.4756	6,997.1406	-30.1688 	 	 	 	0.5103      	Device Position 1	38.1 	V20003907682
Checked	LATR_1_Cont_start45deg_sep10mm	69  	-1,045.1170	6,997.1418	-40.1806 	 	 	 	0.5150      	Device Position 1	38.1 	V20003907682
Checked	LATR_1_Cont_start45deg_sep10mm	70  	-1,044.6752	6,997.1108	-50.1845 	 	 	 	0.4929      	Device Position 1	38.1 	V20003907682
Checked	LATR_1_Cont_start45deg_sep10mm	71  	-1,044.1308	6,997.0906	-60.1713 	 	 	 	0.4786      	Device Position 1	38.1 	V20003907682
Checked	LATR_1_Cont_start45deg_sep10mm	72  	-1,043.4844	6,997.0985	-70.1507 	 	 	 	0.4886      	Device Position 1	38.1 	V20003907682
Checked	LATR_1_Cont_start45deg_sep10mm	73  	-1,042.7470	6,997.0809	-80.1317 	 	 	 	0.4760      	Device Position 1	38.1 	V20003907682
Checked	LATR_1_Cont_start45deg_sep10mm	74  	-1,041.9377	6,997.0635	-90.1161 	 	 	 	0.4707      	Device Position 1	38.1 	V20003907682
