CODE32,-2031.826,-1410.048,-3885.751,0.019,0.015,0.012,0.000
CODE33,-2057.381,-1394.893,-3866.901,0.014,0.015,0.021,0.000
CODE34,-2072.764,-1384.116,-3897.521,0.012,0.021,0.011,0.000
CODE35,-2785.377,-957.112,1524.388,0.014,0.022,0.013,0.000
CODE36,-2758.398,-971.769,1506.618,0.013,0.011,0.016,0.000
CODE37,-2744.010,-982.370,1535.978,0.025,0.013,0.012,0.000
CODE38,-6153.812,1100.338,913.647,0.009,0.024,0.011,0.000
CODE39,-6127.682,1085.573,896.549,0.012,0.012,0.017,0.000
CODE40,-6111.228,1076.889,926.035,0.021,0.011,0.011,0.000
CODE41,-5398.813,646.845,-4493.527,0.027,0.010,0.009,0.000
CODE42,-5424.940,662.287,-4474.863,0.015,0.019,0.022,0.000
CODE43,-5440.339,672.142,-4504.364,0.015,0.030,0.018,0.000
CODE44,-1036.905,-1570.071,121.842,0.013,0.015,0.014,0.000
CODE45,-4049.723,1431.710,1973.034,0.017,0.014,0.017,0.000
CODE46,-6983.105,2107.748,-976.674,0.016,0.009,0.011,0.000
CODE47,-6905.531,1815.577,-2377.939,0.019,0.010,0.011,0.000
CODE48,-937.427,-1831.652,-1295.575,0.013,0.016,0.014,0.000
CODE49,-6599.510,1250.877,-3946.866,0.029,0.011,0.011,0.000
CODE50,-1178.464,-2064.697,-2965.996,0.017,0.032,0.017,0.000
CODE51,-1712.990,-1744.020,1080.816,0.022,0.034,0.015,0.000
CODE52,-1139.094,-1205.438,2193.808,0.018,0.021,0.021,0.000
CODE53,-7132.969,1568.756,105.568,0.031,0.013,0.014,0.000
CODE54,-7187.941,2484.061,1085.946,0.022,0.014,0.014,0.000
CODE55,-1349.208,-2058.719,-3485.086,0.012,0.017,0.013,0.000
CODE56,-6449.521,1059.965,-4366.664,0.017,0.011,0.010,0.000
CODE57,-3527.288,-442.629,1759.590,0.010,0.009,0.009,0.000
CODE58,-1260.951,-1786.380,-2391.346,0.009,0.011,0.011,0.000
CODE59,-2469.792,-1048.639,-4353.650,0.013,0.011,0.011,0.000
CODE60,-5404.070,705.402,1440.701,0.010,0.010,0.008,0.000
CODE61,-4828.981,392.989,-4768.207,0.014,0.010,0.010,0.000
CODE62,-6472.041,1400.305,-3352.177,0.011,0.008,0.009,0.000
CODE133,-803.239,-1456.883,-336.294,0.013,0.015,0.014,0.000
CODE134,-778.701,-1250.284,219.081,0.014,0.015,0.014,0.000
CODE135,-3682.470,1434.404,1976.812,0.013,0.012,0.018,0.000
CODE136,-3181.068,1124.781,2060.875,0.015,0.013,0.021,0.000
CODE137,-6861.519,2469.490,-889.277,0.021,0.012,0.012,0.000
CODE138,-6884.399,2264.143,-1445.819,0.020,0.011,0.012,0.000
CSB-045-1,-803.338,-1518.459,-495.159,0.012,0.014,0.013,0.000
CSB-045-2,-801.580,-1504.709,-458.802,0.012,0.014,0.013,0.000
CSB-045-3,-799.933,-1490.905,-421.760,0.013,0.015,0.013,0.000
CSB-045-4,-798.244,-1477.100,-384.993,0.013,0.014,0.014,0.000
