# x y z x_res y_res z_res x_res_err y_res_err z_res_err
8.445790827845515878e+02 2.077794643869594438e+03 -3.250234649409586751e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.682257926909613843e-02 1.321400078668845228e-02 1.373172834052927352e-02 9.901125861898608244e-03
4.685306773208583877e+02 2.491586540527825946e+03 -4.022723865369950147e+01 0.000000000000000000e+00 0.000000000000000000e+00 -1.077559476726719367e-02 1.462301784508969471e-02 1.514105927260765531e-02 1.089863124075217404e-02
4.693034779437564339e+02 2.076389889926320393e+03 -2.865235901049223699e+01 0.000000000000000000e+00 0.000000000000000000e+00 -1.811148934706707792e-02 1.551749214784801933e-02 1.551749214784799678e-02 1.097351635814881009e-02
6.546418123236603606e+02 2.327403049110116626e+03 -3.702026981842986686e+01 0.000000000000000000e+00 0.000000000000000000e+00 2.739039751596550332e-02 1.416856884194818769e-02 1.478643204098188148e-02 1.047522120090235362e-02
8.437718374901432981e+02 2.497902405192404785e+03 -4.419020314293707941e+01 0.000000000000000000e+00 0.000000000000000000e+00 -1.808438276772506015e-02 1.597257008080552390e-02 1.588761900677318137e-02 1.141664021625203758e-02
8.413824081022750079e+02 2.825957551609863458e+03 -5.468502084957304987e+01 0.000000000000000000e+00 0.000000000000000000e+00 2.046299087550096374e-02 1.597257008080552390e-02 1.588761900677318137e-02 1.141698558620046766e-02
4.644179197990638386e+02 3.241129282326448902e+03 -6.601212120940058981e+01 0.000000000000000000e+00 0.000000000000000000e+00 -1.070182285499754471e-02 1.551749214784801933e-02 1.551749214784799678e-02 1.097474879410602865e-02
6.498176347467730238e+02 3.076277680318220064e+03 -6.136448922387433669e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.860118247993369778e-02 1.551749214784801933e-02 1.551749214784799678e-02 1.097460488967961535e-02
4.648397624040870824e+02 2.824297367413591928e+03 -5.089288060936868163e+01 0.000000000000000000e+00 0.000000000000000000e+00 -2.343830348314668299e-02 1.551749214784801933e-02 1.551749214784799678e-02 1.097425466906817859e-02
8.413386428252147198e+02 3.247160305842258367e+03 -6.993970459150308727e+01 0.000000000000000000e+00 0.000000000000000000e+00 -4.495896885288175326e-04 1.698946406437224291e-02 1.760510668598781400e-02 1.246978289493926376e-02
-1.611834841251562267e+01 2.322093430205220557e+03 -3.357152737734191561e+01 0.000000000000000000e+00 0.000000000000000000e+00 3.877193748489560221e-02 1.529525329323598061e-02 1.732944472480996492e-02 1.215827227326383118e-02
1.731260480151507863e+02 2.072937089692483823e+03 -2.708995322275913509e+01 0.000000000000000000e+00 0.000000000000000000e+00 2.243585942055048577e-02 1.416856884194818769e-02 1.478643204098188148e-02 1.047489676459236949e-02
1.726012780231670831e+02 2.493644814730138478e+03 -3.883389979818340265e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.026352277316533446e-02 1.374445923705877766e-02 1.445808565683391611e-02 1.007696385673513897e-02
