Enabled	Feature	ID 	x         	y          	z         	i	j	k	Dev From Fit	Device Position  	Probe	Device Name
Checked	M1_5   	1  	2,400.1094	-2,698.6765	4,818.0037	 	 	 	-2.7275     	Device Position 1	38.1 	V20003907682
Checked	M1_5   	2  	2,400.0942	-2,698.7604	4,817.8829	 	 	 	-2.8734     	Device Position 1	38.1 	V20003907682
Checked	M1_5   	3  	2,400.1472	-2,698.6963	4,817.9508	 	 	 	-2.7822     	Device Position 1	38.1 	V20003907682
Checked	M1_5   	4  	2,400.1639	-2,698.7148	4,817.8936	 	 	 	-2.8410     	Device Position 1	38.1 	V20003907682
Checked	M1_5   	5  	2,400.2364	-2,698.6970	4,817.8857	 	 	 	-2.8373     	Device Position 1	38.1 	V20003907682
Checked	M1_5   	6  	2,400.2330	-2,698.7030	4,817.8859	 	 	 	-2.8400     	Device Position 1	38.1 	V20003907682
Checked	M1_5   	7  	2,400.1106	-2,698.7331	4,817.9120	 	 	 	-2.8346     	Device Position 1	38.1 	V20003907682
Checked	M1_5   	8  	2,400.1505	-2,698.6768	4,817.9877	 	 	 	-2.7404     	Device Position 1	38.1 	V20003907682
Checked	M1_5   	9  	2,400.0625	-2,698.7229	4,817.9536	 	 	 	-2.7947     	Device Position 1	38.1 	V20003907682
Checked	M1_5   	10 	2,400.1697	-2,698.6662	4,817.9821	 	 	 	-2.7399     	Device Position 1	38.1 	V20003907682
Checked	M1_5   	11 	2,400.2040	-2,698.6995	4,817.9153	 	 	 	-2.8132     	Device Position 1	38.1 	V20003907682
Checked	M1_5   	12 	2,400.2546	-2,698.6886	4,817.9158	 	 	 	-2.8060     	Device Position 1	38.1 	V20003907682
Checked	M1_5   	13 	2,400.2337	-2,698.6637	4,817.9453	 	 	 	-2.7694     	Device Position 1	38.1 	V20003907682
Checked	M1_5   	14 	2,400.1262	-2,698.6804	4,817.9736	 	 	 	-2.7555     	Device Position 1	38.1 	V20003907682
Checked	M1_5   	15 	2,400.0444	-2,698.7663	4,817.8758	 	 	 	-2.8843     	Device Position 1	38.1 	V20003907682
Checked	M1_5   	16 	883.4389  	1,563.1153 	2,766.7873	 	 	 	-12.0504    	Device Position 1	38.1 	V20003907682
Checked	M1_5   	17 	883.4203  	1,563.1133 	2,766.8208	 	 	 	-12.0219    	Device Position 1	38.1 	V20003907682
Checked	M1_5   	18 	883.4309  	1,563.0017 	2,766.8580	 	 	 	-12.0376    	Device Position 1	38.1 	V20003907682
Checked	M1_5   	19 	496.6475  	1,569.4128 	2,768.1818	 	 	 	-22.8958    	Device Position 1	38.1 	V20003907682
Checked	M1_5   	20 	496.7080  	1,569.3732 	2,768.2210	 	 	 	-22.8759    	Device Position 1	38.1 	V20003907682
Checked	M1_5   	21 	496.7294  	1,569.3923 	2,768.2229	 	 	 	-22.8649    	Device Position 1	38.1 	V20003907682
Checked	M1_5   	22 	656.3057  	1,422.3787 	2,843.9915	 	 	 	-13.9276    	Device Position 1	38.1 	V20003907682
Checked	M1_5   	23 	656.3514  	1,422.3219 	2,844.0333	 	 	 	-13.9135    	Device Position 1	38.1 	V20003907682
Checked	M1_5   	24 	656.3605  	1,422.2662 	2,844.0526	 	 	 	-13.9205    	Device Position 1	38.1 	V20003907682
Checked	M1_5   	25 	488.8637  	1,204.0867 	2,959.9293	 	 	 	-13.1409    	Device Position 1	38.1 	V20003907682
Checked	M1_5   	26 	488.9646  	1,203.8830 	2,960.0088	 	 	 	-13.1559    	Device Position 1	38.1 	V20003907682
Checked	M1_5   	27 	489.0229  	1,203.7439 	2,960.1351	 	 	 	-13.1021    	Device Position 1	38.1 	V20003907682
Checked	M1_5   	28 	861.0935  	1,189.9378 	2,962.8375	 	 	 	-2.4768     	Device Position 1	38.1 	V20003907682
Checked	M1_5   	29 	861.0176  	1,189.9128 	2,962.7996	 	 	 	-2.5247     	Device Position 1	38.1 	V20003907682
Checked	M1_5   	30 	861.2498  	1,189.8334 	2,962.8871	 	 	 	-2.4725     	Device Position 1	38.1 	V20003907682
Checked	M1_5   	31 	483.2759  	895.7229   	3,119.8589	 	 	 	-6.5895     	Device Position 1	38.1 	V20003907682
Checked	M1_5   	32 	483.3732  	895.6135   	3,119.9258	 	 	 	-6.5742     	Device Position 1	38.1 	V20003907682
Checked	M1_5   	33 	483.3653  	895.5251   	3,119.9707	 	 	 	-6.5734     	Device Position 1	38.1 	V20003907682
Checked	M1_5   	34 	878.3379  	900.1848   	3,112.8398	 	 	 	4.2984      	Device Position 1	38.1 	V20003907682
Checked	M1_5   	35 	878.3367  	900.1520   	3,112.8538	 	 	 	4.2964      	Device Position 1	38.1 	V20003907682
Checked	M1_5   	36 	878.3901  	900.1400   	3,112.8758	 	 	 	4.3129      	Device Position 1	38.1 	V20003907682
Checked	M1_5   	37 	699.9280  	756.7599   	3,189.2351	 	 	 	2.3811      	Device Position 1	38.1 	V20003907682
Checked	M1_5   	38 	699.9065  	756.7306   	3,189.2314	 	 	 	2.3640      	Device Position 1	38.1 	V20003907682
Checked	M1_5   	39 	699.8450  	756.6299   	3,189.2486	 	 	 	2.3325      	Device Position 1	38.1 	V20003907682
Checked	M1_5   	40 	496.6433  	544.6080   	3,299.9388	 	 	 	-0.1823     	Device Position 1	38.1 	V20003907682
