Enabled	Feature	ID  	x        	y        	z       	i       	j       	k        	Dev From Fit	Device Position  	Probe	Device Name
Checked	LATR_4 	64  	1,027.437	6,998.535	-179.248	0.262229	0.939830	-0.218988	0.360       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	65  	1,027.437	6,998.535	-179.246	0.262229	0.939830	-0.218987	0.358       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	66  	1,027.438	6,998.533	-179.246	0.262230	0.939830	-0.218987	0.358       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	67  	1,027.435	6,998.535	-179.240	0.262229	0.939831	-0.218985	0.353       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	68  	1,027.438	6,998.534	-179.240	0.262230	0.939830	-0.218985	0.352       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	69  	1,027.439	6,998.533	-179.238	0.262231	0.939830	-0.218985	0.350       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	70  	1,027.439	6,998.532	-179.237	0.262231	0.939830	-0.218984	0.350       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	71  	1,027.442	6,998.531	-179.237	0.262232	0.939830	-0.218984	0.349       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	72  	1,027.442	6,998.529	-179.231	0.262232	0.939830	-0.218983	0.344       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	73  	1,027.442	6,998.531	-179.234	0.262232	0.939830	-0.218984	0.347       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	74  	1,027.436	6,998.530	-179.234	0.262230	0.939831	-0.218984	0.348       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	75  	1,027.440	6,998.528	-179.230	0.262232	0.939830	-0.218982	0.344       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	76  	1,027.439	6,998.527	-179.232	0.262231	0.939830	-0.218983	0.345       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	77  	1,027.442	6,998.527	-179.228	0.262232	0.939830	-0.218981	0.341       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	78  	1,027.441	6,998.527	-179.225	0.262232	0.939831	-0.218981	0.339       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	79  	1,027.438	6,998.525	-179.227	0.262231	0.939831	-0.218981	0.342       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	80  	1,027.440	6,998.523	-179.226	0.262232	0.939831	-0.218981	0.341       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	81  	1,027.437	6,998.523	-179.225	0.262231	0.939831	-0.218981	0.341       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	82  	1,027.437	6,998.522	-179.224	0.262231	0.939831	-0.218981	0.340       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	83  	1,027.437	6,998.520	-179.223	0.262231	0.939831	-0.218981	0.340       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	84  	1,027.437	6,998.520	-179.220	0.262231	0.939831	-0.218979	0.336       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	85  	1,027.435	6,998.519	-179.221	0.262231	0.939831	-0.218980	0.338       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	86  	1,027.436	6,998.517	-179.222	0.262231	0.939831	-0.218980	0.339       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	87  	1,027.439	6,998.518	-179.216	0.262232	0.939831	-0.218978	0.333       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	88  	1,027.435	6,998.518	-179.219	0.262231	0.939831	-0.218979	0.337       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	89  	1,027.437	6,998.515	-179.220	0.262232	0.939831	-0.218980	0.337       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	90  	1,027.446	6,998.514	-179.214	0.262235	0.939831	-0.218978	0.330       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	91  	1,027.439	6,998.517	-179.214	0.262232	0.939831	-0.218977	0.331       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	92  	1,027.438	6,998.516	-179.214	0.262232	0.939831	-0.218978	0.332       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	93  	1,027.438	6,998.513	-179.215	0.262233	0.939831	-0.218978	0.333       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	94  	1,027.440	6,998.515	-179.211	0.262233	0.939831	-0.218977	0.329       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	95  	1,027.442	6,998.516	-179.209	0.262234	0.939831	-0.218976	0.326       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	96  	1,027.442	6,998.516	-179.206	0.262234	0.939832	-0.218975	0.324       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	97  	1,027.443	6,998.515	-179.205	0.262234	0.939832	-0.218974	0.322       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	98  	1,027.437	6,998.517	-179.206	0.262232	0.939832	-0.218975	0.324       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	99  	1,027.436	6,998.516	-179.203	0.262232	0.939832	-0.218974	0.322       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	100 	1,027.434	6,998.514	-179.203	0.262231	0.939833	-0.218974	0.323       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	101 	1,027.438	6,998.511	-179.201	0.262233	0.939832	-0.218973	0.321       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	102 	1,027.435	6,998.515	-179.197	0.262232	0.939833	-0.218972	0.317       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	103 	1,027.439	6,998.516	-179.193	0.262233	0.939833	-0.218970	0.312       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	104 	1,027.440	6,998.515	-179.195	0.262234	0.939833	-0.218971	0.314       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	105 	1,027.441	6,998.513	-179.190	0.262234	0.939833	-0.218969	0.309       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	106 	1,027.438	6,998.512	-179.191	0.262233	0.939833	-0.218970	0.312       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	107 	1,027.437	6,998.514	-179.193	0.262233	0.939833	-0.218970	0.313       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	108 	1,027.440	6,998.510	-179.192	0.262234	0.939833	-0.218970	0.313       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	109 	1,027.440	6,998.512	-179.188	0.262234	0.939833	-0.218969	0.309       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	110 	1,027.439	6,998.510	-179.189	0.262234	0.939833	-0.218969	0.310       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	111 	1,027.438	6,998.512	-179.185	0.262233	0.939833	-0.218968	0.307       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	112 	1,027.438	6,998.510	-179.185	0.262233	0.939833	-0.218968	0.307       	Device Position 1	38.1 	V20003907682
