Enabled	Feature      	ID  	x         	y        	z        	i        	j        	k       	Dev From Fit	Device Position  	Probe	Device Name
Checked	M1_Upper_Left	66  	-2,398.530	2,658.472	2,142.554	-0.737061	-0.486473	0.469132	0.984       	Device Position 1	38.1 	V20003907682
Checked	M1_Upper_Left	67  	-2,398.530	2,658.471	2,142.555	-0.737061	-0.486473	0.469133	0.983       	Device Position 1	38.1 	V20003907682
Checked	M1_Upper_Left	68  	-2,398.530	2,658.470	2,142.551	-0.737061	-0.486473	0.469132	0.982       	Device Position 1	38.1 	V20003907682
Checked	M1_Upper_Left	69  	-2,398.530	2,658.468	2,142.550	-0.737061	-0.486474	0.469131	0.979       	Device Position 1	38.1 	V20003907682
Checked	M1_Upper_Left	70  	-2,398.536	2,658.467	2,142.542	-0.737063	-0.486474	0.469129	0.976       	Device Position 1	38.1 	V20003907682
Checked	M1_Upper_Left	71  	-2,398.526	2,658.465	2,142.548	-0.737061	-0.486475	0.469131	0.976       	Device Position 1	38.1 	V20003907682
Checked	M1_Upper_Left	72  	-2,398.531	2,658.467	2,142.545	-0.737062	-0.486474	0.469130	0.976       	Device Position 1	38.1 	V20003907682
Checked	M1_Upper_Left	73  	-2,398.529	2,658.464	2,142.545	-0.737061	-0.486475	0.469130	0.974       	Device Position 1	38.1 	V20003907682
Checked	M1_Upper_Left	74  	-2,398.528	2,658.462	2,142.544	-0.737061	-0.486475	0.469130	0.972       	Device Position 1	38.1 	V20003907682
Checked	M1_Upper_Left	75  	-2,398.529	2,658.458	2,142.545	-0.737061	-0.486476	0.469130	0.969       	Device Position 1	38.1 	V20003907682
Checked	M1_Upper_Left	76  	-2,398.525	2,658.458	2,142.544	-0.737060	-0.486477	0.469130	0.968       	Device Position 1	38.1 	V20003907682
Checked	M1_Upper_Left	77  	-2,398.525	2,658.452	2,142.545	-0.737060	-0.486478	0.469130	0.963       	Device Position 1	38.1 	V20003907682
Checked	M1_Upper_Left	78  	-2,398.525	2,658.451	2,142.541	-0.737060	-0.486478	0.469129	0.961       	Device Position 1	38.1 	V20003907682
Checked	M1_Upper_Left	79  	-2,398.529	2,658.455	2,142.534	-0.737061	-0.486477	0.469127	0.963       	Device Position 1	38.1 	V20003907682
Checked	M1_Upper_Left	80  	-2,398.527	2,658.448	2,142.535	-0.737060	-0.486479	0.469127	0.956       	Device Position 1	38.1 	V20003907682
Checked	M1_Upper_Left	81  	-2,398.526	2,658.446	2,142.533	-0.737060	-0.486480	0.469127	0.953       	Device Position 1	38.1 	V20003907682
Checked	M1_Upper_Left	82  	-2,398.525	2,658.441	2,142.532	-0.737060	-0.486481	0.469126	0.949       	Device Position 1	38.1 	V20003907682
Checked	M1_Upper_Left	83  	-2,398.523	2,658.437	2,142.530	-0.737059	-0.486482	0.469126	0.944       	Device Position 1	38.1 	V20003907682
Checked	M1_Upper_Left	84  	-2,398.524	2,658.433	2,142.534	-0.737059	-0.486482	0.469126	0.941       	Device Position 1	38.1 	V20003907682
Checked	M1_Upper_Left	85  	-2,398.524	2,658.433	2,142.533	-0.737059	-0.486482	0.469126	0.942       	Device Position 1	38.1 	V20003907682
Checked	M1_Upper_Left	86  	-2,398.526	2,658.429	2,142.530	-0.737059	-0.486483	0.469125	0.937       	Device Position 1	38.1 	V20003907682
