P51V1,-68.0
P51V2,-138.0
P51V5,-97.0
P52V2,-70.0
P52V4,82.0
P52V5,-71.0
P55V1,86.0
P55V2,64.0
P56V2,132.0
P57V1,100.0
P57V2,106.0
P57V3,197.0
P57V4,119.0
P57V5,80.0
P58V2,86.0
P58V4,119.0
P59V3,95.0
P59V4,107.0
P61V1,179.0
P61V2,63.0
P62V1,261.0
P62V2,218.0
P62V3,161.0
P62V4,390.0
P62V5,253.0
P63V3,70.0
P63V4,101.0
P64V4,70.0
P65V2,-75.0
P65V3,88.0
P65V4,71.0
P65V5,-62.0
P66V1,137.0
P67V1,68.0
P67V2,101.0
P67V3,185.0
P67V4,120.0
P68V1,300.0
P68V3,204.0
P68V4,186.0
P68V5,98.0
P69V1,142.0
P69V2,307.0
P69V3,282.0
P69V4,188.0
P69V5,201.0
P71V1,234.0
P71V2,120.0
P71V3,385.0
P71V4,276.0
P71V5,228.0
P72V1,135.0
P72V2,217.0
P72V3,136.0
P72V4,329.0
P72V5,203.0
P73V3,-141.0
P73V5,-75.0
P74V3,68.0
P76V1,88.0
P76V4,-91.0
P77V1,82.0
P77V3,64.0
P77V4,68.0
P77V5,-89.0
P78V1,180.0
P78V4,62.0
P78V5,66.0
P79V1,311.0
P79V2,165.0
P79V3,444.0
P79V4,180.0
P79V5,328.0
P82V1,160.0
P82V2,391.0
P82V3,157.0
P82V4,-592.0
P82V5,286.0
P83V2,-74.0
P83V4,-74.0
P83V5,-156.0
P84V1,-79.0
P84V2,-188.0
P84V3,-96.0
P84V4,-191.0
P84V5,-139.0
P85V4,-175.0
P85V5,-131.0
P86V1,-195.0
P86V2,-165.0
P86V3,-192.0
P86V4,-120.0
P86V5,-176.0
P87V2,-92.0
P87V4,-163.0
P87V5,-69.0
P88V3,-164.0
P88V4,-153.0
P88V5,-101.0
P93V1,147.0
P93V5,-146.0
P94V1,-356.0
P94V2,-203.0
P94V3,-473.0
P94V4,-342.0
P94V5,-364.0
P95V1,-130.0
P95V2,-95.0
P95V3,-286.0
P95V4,-278.0
P95V5,-232.0
P96V1,-199.0
P96V2,-117.0
P96V3,-111.0
P96V4,-200.0
P96V5,-120.0
P97V2,-140.0
P97V3,-191.0
P97V4,-212.0
P97V5,-201.0
