CODE1,-1353.167,2028.660,488.461,0.035,0.023,0.018,0.000
CODE2,-265.750,2144.876,-1346.886,0.050,0.052,0.033,0.000
CODE3,-2806.670,-1505.974,1454.179,0.030,0.022,0.021,0.000
CODE4,-1713.875,2359.448,-4493.227,0.036,0.046,0.061,0.000
CODE5,-4228.246,3059.109,-4065.257,0.039,0.025,0.022,0.000
CODE6,-6687.466,3831.507,-3631.744,0.029,0.027,0.021,0.000
CODE7,-4483.364,3024.801,-5478.106,0.047,0.030,0.033,0.000
CODE8,-3840.574,-5095.320,-3933.157,0.045,0.076,0.081,0.000
CODE9,-6334.826,-4314.931,-3505.909,0.030,0.036,0.023,0.000
CODE10,-6558.675,-4345.265,-4725.842,0.034,0.046,0.034,0.000
CODE11,-8905.815,-3591.729,-3059.471,0.028,0.035,0.023,0.000
CODE12,-3244.745,-4353.122,946.248,0.030,0.028,0.020,0.000
CODE13,-2574.618,1682.847,957.908,0.062,0.043,0.030,0.000
CODE14,-2446.946,1431.484,892.336,0.324,0.165,0.118,0.000
CODE23,-3751.896,-3170.180,1274.419,0.407,0.064,0.160,0.000
CODE25,-1570.544,778.822,1298.796,0.033,0.026,0.023,0.000
CODE26,-2627.370,-3053.898,1581.809,0.042,0.039,0.031,0.000
CODE29,-7992.247,2856.203,-859.342,0.545,0.172,0.071,0.000
CODE30,-9298.454,-1743.907,-481.349,0.328,0.108,0.050,0.000
CODE33,-2799.534,547.616,-6536.473,0.037,0.044,0.105,0.000
CODE34,-2819.544,527.683,-6558.779,0.042,0.138,0.270,0.000
CODE35,-248.705,167.604,-1725.444,0.055,0.049,0.032,0.000
CODE40,-1325.683,-3615.981,-1435.277,0.030,0.053,0.026,0.000
CODE41,-3892.836,-3255.850,-6268.187,0.226,0.370,0.551,0.000
CODE42,-3889.037,-3283.196,-6245.810,0.043,0.043,0.101,0.000
CODE51,-114.251,1370.803,-2432.859,0.039,0.031,0.033,0.000
CODE53,-1869.432,-4791.670,-1960.032,0.029,0.055,0.033,0.000
CODE55,-2252.649,1434.876,-6495.928,0.067,0.022,0.041,0.000
CODE56,-3885.463,-4364.554,-6020.293,0.042,0.036,0.035,0.000
CODE57,-2392.428,-5241.205,-887.138,0.035,0.101,0.028,0.000
CODE58,-10775.869,-1324.254,-2480.516,0.106,0.025,0.035,0.000
CODE59,-11009.069,-1158.800,-4127.995,0.179,0.034,0.078,0.000
CODE70,-1143.905,-1399.371,1611.472,0.039,0.021,0.026,0.000
CODE71,-650.183,484.029,1102.669,0.051,0.033,0.027,0.000
CODE73,-10205.046,2771.798,-3380.388,0.028,0.049,0.025,0.000
CODE75,-3213.583,-352.238,-7160.381,0.097,0.027,0.065,0.000
CODE79,-10911.395,-1062.487,-2187.045,0.021,0.040,0.014,0.000
CODE80,-11013.698,-1077.681,-2673.675,0.021,0.042,0.016,0.000
CODE81,-9692.232,2427.730,-1349.829,0.034,0.036,0.018,0.000
CODE82,-9945.533,2725.762,-1836.407,0.043,0.072,0.017,0.000
CODE83,-9796.335,2912.539,-2486.206,0.037,0.055,0.018,0.000
CODE84,-9821.281,2879.261,-3025.857,0.028,0.038,0.019,0.000
CODE85,-11119.046,-846.952,-1917.127,0.035,0.083,0.017,0.000
CODE86,-10083.067,2903.129,-2392.154,0.100,0.077,0.031,0.000
CODE87,-10787.347,-974.530,-1815.290,0.021,0.045,0.015,0.000
CODE88,-10627.149,-673.628,-1275.771,0.021,0.039,0.017,0.000
CODE89,-10470.915,-361.925,-959.198,0.022,0.036,0.019,0.000
CODE90,-10235.761,1075.610,-601.250,0.023,0.023,0.026,0.000
CODE91,-10209.325,2875.888,-3077.365,0.111,0.084,0.055,0.000
CODE92,-10029.521,2591.620,-1532.613,0.111,0.082,0.029,0.000
CODE93,-10922.696,-543.085,-1299.214,0.038,0.081,0.025,0.000
CODE94,-11284.660,-897.270,-2795.111,0.033,0.099,0.026,0.000
CODE97,-130.557,-3357.916,-739.507,0.050,0.033,0.018,0.000
CODE98,607.093,-779.656,-921.589,0.046,0.020,0.018,0.000
CODE99,-32.218,-1855.958,-255.172,0.069,0.026,0.019,0.000
CODE100,-2035.141,2680.583,-885.363,0.031,0.030,0.020,0.000
CODE101,-3706.644,3130.817,-1223.148,0.027,0.022,0.016,0.000
CODE102,-5182.088,3566.283,-974.248,0.029,0.031,0.020,0.000
CODE103,-4191.584,-4704.121,-580.901,0.028,0.029,0.019,0.000
CODE104,-5818.320,-4244.571,-657.929,0.025,0.024,0.017,0.000
CODE105,-7294.887,-3804.136,-408.742,0.025,0.025,0.017,0.000
CODE106,-10498.818,-1222.111,-1056.337,0.095,0.024,0.024,0.000
CODE107,-9631.933,-3289.013,-1782.348,0.024,0.037,0.019,0.000
CODE108,-7247.200,4059.256,-2763.368,0.029,0.032,0.020,0.000
CODE109,-9302.050,2990.671,-1393.542,0.081,0.052,0.025,0.000
CODE110,1152.801,1612.631,-1919.186,0.049,0.024,0.020,0.000
CODE111,-2578.362,1843.589,-7272.165,0.127,0.028,0.080,0.000
CODE112,-4425.427,-4649.541,-6783.519,0.108,0.099,0.078,0.000
CODE113,-3864.935,-3568.714,-6452.259,0.104,0.074,0.066,0.000
CODE114,-3796.369,-2400.781,-7014.200,0.096,0.052,0.068,0.000
CODE115,-1019.559,-3768.837,-1218.821,0.038,0.030,0.018,0.000
CODE116,-1521.484,-4712.315,-1565.568,0.032,0.032,0.018,0.000
CODE117,103.760,243.810,-1558.813,0.036,0.018,0.016,0.000
CODE118,132.396,1182.391,-2060.837,0.035,0.019,0.017,0.000
CODE119,-2645.482,755.437,-6802.442,0.112,0.023,0.066,0.000
CODE121,-13450.605,753.387,-2180.905,0.027,0.018,0.012,0.000
CODE122,-13074.645,1390.860,-1081.497,0.026,0.019,0.013,0.000
CODE123,-12872.696,2089.239,-1100.060,0.026,0.021,0.014,0.000
CODE124,-12884.150,2737.783,-2273.707,0.024,0.022,0.012,0.000
CODE127,-12212.429,4016.089,-2034.786,0.045,0.186,0.020,0.000
CODE128,-11545.866,4029.415,-2346.456,0.026,0.098,0.021,0.000
CODE129,-11593.229,4021.970,-2626.709,0.025,0.089,0.023,0.000
CODE133,-609.684,-1607.247,834.047,0.051,0.021,0.020,0.000
CODE134,-859.688,-1501.518,1361.396,0.044,0.020,0.023,0.000
CODE136,-1258.519,-2750.383,1398.474,0.055,0.042,0.036,0.000
CODE137,-12511.854,1931.536,-1037.730,0.024,0.021,0.013,0.000
CODE138,-12669.569,1361.018,-991.701,0.025,0.019,0.013,0.000
CODE147,-13047.343,1756.918,-1257.191,0.025,0.019,0.012,0.000
CODE148,-13338.300,1769.020,-2973.005,0.028,0.021,0.015,0.000
CODE150,-12570.099,3155.297,-2439.158,0.030,0.054,0.016,0.000
CODE153,-13397.211,705.122,-1790.922,0.026,0.018,0.012,0.000
CODE154,-13478.205,1039.387,-2544.030,0.028,0.019,0.013,0.000
CODE155,-11519.956,3819.051,-2470.889,0.024,0.076,0.020,0.000
CODE156,-12504.674,2929.171,-1766.657,0.034,0.097,0.017,0.000
CODE159,-13312.308,942.007,-1421.763,0.026,0.018,0.012,0.000
CODE160,-12898.922,2530.665,-1717.914,0.024,0.020,0.011,0.000
CODE161,-10927.402,3602.986,-3071.988,0.028,0.067,0.025,0.000
CODE166,-10755.049,3796.156,-2451.798,0.030,0.069,0.020,0.000
CODE167,-13052.657,2533.076,-2619.894,0.026,0.022,0.013,0.000
CODE168,-12377.138,3849.076,-2609.420,0.266,1.224,0.144,0.000
CODE193,-13133.710,581.963,-1381.164,0.055,0.050,0.024,0.000
CODE194,-13524.074,-650.371,-1518.957,0.116,0.105,0.036,0.000
CODE195,-12793.852,-907.943,-1734.687,0.037,0.068,0.020,0.000
CODE197,-9753.384,2831.372,-2078.202,0.033,0.044,0.016,0.000
CODE198,-10714.145,-87.053,-869.474,0.030,0.039,0.022,0.000
CODE199,-13243.949,395.542,-1654.257,0.050,0.049,0.019,0.000
CODE200,-13477.843,-643.368,-1243.741,0.115,0.105,0.044,0.000
CODE201,-12945.048,-843.485,-1443.578,0.045,0.077,0.025,0.000
CODE202,-11332.413,-1332.497,-1734.636,0.038,0.144,0.022,0.000
CODE204,-11193.028,-911.914,-2236.510,0.033,0.086,0.018,0.000
CODE205,-13209.818,106.968,-1450.299,0.031,0.020,0.015,0.000
CODE206,-13489.387,-477.747,-2022.673,0.050,0.034,0.020,0.000
CODE207,-12733.729,-1099.431,-1499.204,0.037,0.071,0.022,0.000
CODE208,-12074.456,-1265.542,-1283.539,0.026,0.053,0.020,0.000
CODE209,-11328.796,-968.738,-1942.565,0.033,0.095,0.018,0.000
CODE210,-10077.897,2133.951,-1022.263,0.041,0.027,0.022,0.000
CODE211,-13266.940,94.465,-1750.768,0.030,0.019,0.014,0.000
CODE212,-13380.290,-103.909,-2048.057,0.034,0.021,0.015,0.000
CODE213,-12760.737,-1062.546,-1163.994,0.039,0.076,0.027,0.000
CODE214,-11819.777,-1342.178,-1339.881,0.024,0.054,0.019,0.000
CODE215,-11796.396,-1392.618,-1850.961,0.023,0.051,0.016,0.000
CODE216,-10033.775,2762.389,-1858.419,0.116,0.093,0.026,0.000
CSB-045-1,-531.321,-1637.266,685.822,0.052,0.021,0.019,0.000
CSB-045-2,-547.640,-1630.120,720.368,0.052,0.021,0.019,0.000
CSB-045-3,-564.255,-1623.014,755.524,0.052,0.021,0.019,0.000
CSB-045-4,-580.850,-1615.881,790.509,0.052,0.021,0.020,0.000
CSB-045-5,-876.284,-1490.973,1413.852,0.044,0.020,0.023,0.000
CSB-045-6,-892.485,-1483.840,1448.074,0.045,0.020,0.024,0.000
CSB-045-7,-908.838,-1477.201,1482.446,0.045,0.020,0.024,0.000
CSB-045-8,-925.584,-1469.694,1518.154,0.046,0.020,0.025,0.000
CSB-045-12,-1065.152,-2140.377,1478.879,0.049,0.027,0.028,0.000
CSB-045-13,-1276.133,-2803.635,1400.245,0.056,0.041,0.035,0.000
CSB-045-17,-12473.762,2096.258,-1051.818,0.024,0.021,0.013,0.000
CSB-045-18,-12484.021,2058.679,-1047.993,0.024,0.021,0.013,0.000
CSB-045-19,-12494.438,2021.374,-1045.444,0.025,0.021,0.014,0.000
CSB-045-20,-12504.816,1983.976,-1042.439,0.024,0.021,0.013,0.000
CSB-045-21,-12691.116,1309.762,-987.701,0.025,0.018,0.013,0.000
CSB-045-22,-12701.672,1272.039,-985.255,0.025,0.018,0.013,0.000
CSB-045-23,-12712.056,1234.338,-982.154,0.025,0.018,0.013,0.000
CSB-045-24,-12722.515,1196.722,-979.465,0.025,0.018,0.013,0.000
NUGGET133_1,-599.451,-1596.239,819.369,0.052,0.021,0.020,0.000
NUGGET133_5,-604.292,-1588.441,832.313,0.052,0.021,0.020,0.000
NUGGET133_15,-616.473,-1605.253,848.012,0.051,0.021,0.020,0.000
NUGGET133_A,-612.908,-1584.957,850.439,0.051,0.021,0.020,0.000
NUGGET133_B,-613.396,-1622.374,834.459,0.051,0.021,0.020,0.000
NUGGET133_C,-607.107,-1624.951,821.197,0.051,0.021,0.020,0.000
NUGGET133_D,-603.287,-1610.573,820.263,0.052,0.021,0.020,0.000
NUGGET134_2,-847.790,-1485.334,1346.324,0.044,0.020,0.023,0.000
NUGGET134_5,-854.134,-1482.791,1359.615,0.044,0.020,0.023,0.000
NUGGET134_15,-866.484,-1499.448,1375.308,0.044,0.020,0.023,0.000
NUGGET134_A,-862.760,-1479.199,1377.711,0.044,0.020,0.023,0.000
NUGGET134_B,-863.477,-1516.594,1361.779,0.044,0.020,0.023,0.000
NUGGET134_C,-857.150,-1519.218,1348.572,0.044,0.020,0.022,0.000
NUGGET134_D,-853.272,-1504.899,1347.592,0.044,0.020,0.022,0.000
NUGGET136_2,-1272.497,-2730.117,1403.344,0.055,0.042,0.036,0.000
NUGGET136_6,-1278.490,-2749.287,1401.035,0.055,0.043,0.037,0.000
NUGGET136_15,-1262.584,-2765.331,1396.620,0.055,0.043,0.036,0.000
NUGGET136_A,-1283.038,-2763.548,1399.341,0.055,0.041,0.036,0.000
NUGGET136_B,-1243.618,-2754.184,1396.143,0.055,0.042,0.036,0.000
NUGGET136_C,-1239.144,-2740.147,1397.801,0.055,0.042,0.036,0.000
NUGGET136_D,-1253.212,-2735.824,1400.102,0.055,0.042,0.036,0.000
NUGGET137_3,-12511.828,1940.740,-1052.605,0.024,0.021,0.013,0.000
NUGGET137_6,-12516.838,1926.216,-1056.604,0.024,0.021,0.013,0.000
NUGGET137_15,-12515.863,1916.582,-1035.720,0.024,0.020,0.013,0.000
NUGGET137_A,-12520.792,1911.891,-1055.318,0.024,0.020,0.013,0.000
NUGGET137_B,-12508.900,1932.838,-1022.503,0.024,0.020,0.013,0.000
NUGGET137_C,-12504.913,1947.175,-1023.755,0.024,0.020,0.013,0.000
NUGGET137_D,-12507.586,1946.502,-1038.452,0.024,0.021,0.013,0.000
NUGGET138_4,-12670.553,1370.200,-1011.860,0.025,0.019,0.013,0.000
NUGGET138_6,-12674.536,1355.847,-1010.678,0.025,0.019,0.013,0.000
NUGGET138_15,-12673.568,1345.988,-989.807,0.025,0.019,0.013,0.000
NUGGET138_A,-12678.426,1341.488,-1009.519,0.025,0.019,0.013,0.000
NUGGET138_B,-12666.581,1362.156,-976.365,0.025,0.019,0.013,0.000
NUGGET138_C,-12662.620,1376.508,-977.524,0.025,0.019,0.013,0.000
NUGGET138_D,-12665.287,1376.022,-992.255,0.025,0.019,0.013,0.000
TARGET1,-11208.242,-279.398,-4016.825,0.024,0.027,0.021,0.000
TARGET2,-9306.335,-1748.929,-545.610,0.031,0.022,0.017,0.000
TARGET3,-11113.445,191.093,-4348.103,0.024,0.025,0.023,0.000
TARGET4,-13440.762,741.979,-2260.095,0.027,0.018,0.012,0.000
TARGET5,-12876.818,2721.529,-2358.096,0.024,0.022,0.012,0.000
TARGET6,-516.955,1231.614,-2767.537,0.032,0.018,0.017,0.000
TARGET7,-528.706,532.223,-2454.369,0.029,0.016,0.016,0.000
TARGET8,-360.829,508.662,-2098.814,0.030,0.016,0.015,0.000
TARGET9,-505.198,332.920,-2303.679,0.028,0.015,0.015,0.000
TARGET10,-292.244,208.383,-1696.410,0.034,0.017,0.017,0.000
